RECTYPE,LEA,ESTAB,URN,ICLOSE,SCHNAME,NFTYPE,COHORT,OVERALL_DEST,APPREN,EMPLOYMENT,EDUCATION,FE,SCH_6TH,SIXTH_COL,OTHER_EDU,NOT_SUSTAINED,UNKNOWN,OVERALL_DESTPER,APPRENPER,EMPLOYMENTPER,EDUCATIONPER,FEPER,SCH_6THPER,SIXTH_COLPER,OTHER_EDUPER,NOT_SUSTAINEDPER,UNKNOWNPER,COHORT_DIS,OVERALL_DEST_DIS,APPREN_DIS,EMPLOYMENT_DIS,EDUCATION_DIS,FE_DIS,SCH_6TH_DIS,SIXTH_COL_DIS,OTHER_EDU_DIS,NOT_SUSTAINED_DIS,UNKNOWN_DIS,OVERALL_DESTPER_DIS,APPRENPER_DIS,EMPLOYMENTPER_DIS,EDUCATIONPER_DIS,FEPER_DIS,SCH_6THPER_DIS,SIXTH_COLPER_DIS,OTHER_EDUPER_DIS,NOT_SUSTAINEDPER_DIS,UNKNOWNPER_DIS,COHORT_NONDIS,OVERALL_DEST_NONDIS,APPREN_NONDIS,EMPLOYMENT_NONDIS,EDUCATION_NONDIS,FE_NONDIS,SCH_6TH_NONDIS,SIXTH_COL_NONDIS,OTHER_EDU_NONDIS,NOT_SUSTAINED_NONDIS,UNKNOWN_NONDIS,OVERALL_DESTPER_NONDIS,APPRENPER_NONDIS,EMPLOYMENTPER_NONDIS,EDUCATIONPER_NONDIS,FEPER_NONDIS,SCH_6THPER_NONDIS,SIXTH_COLPER_NONDIS,OTHER_EDUPER_NONDIS,NOT_SUSTAINEDPER_NONDIS,UNKNOWNPER_NONDIS,COHORT_22,OVERALL_DESTPER_22,COHORT_DIS_22,OVERALL_DESTPER_DIS_22,COHORT_NONDIS_22,OVERALL_DESTPER_NONDIS_22,COHORT_21,OVERALL_DESTPER_21,COHORT_DIS_21,OVERALL_DESTPER_DIS_21,COHORT_NONDIS_21,OVERALL_DESTPER_NONDIS_21
1,919,4083,137339,0,St Albans Girls' School,ACC,209,203,2,3,198,35,159,1,3,3,3,97%,1%,1%,95%,17%,76%,SP,1%,1%,1%,15,14,0,0,14,SUPP,7,SUPP,0,1,0,93%,0%,0%,93%,SUPP,47%,SUPP,0%,7%,0%,194,189,2,3,184,SUPP,152,SUPP,3,2,3,97%,1%,2%,95%,SUPP,78%,SUPP,2%,1%,2%,207,100%,22,SUPP,185,SUPP,208,97%,20,90%,188,98%
1,919,5421,136901,0,St Clement Danes School,ACC,240,237,4,2,231,36,185,3,7,2,1,99%,2%,1%,96%,15%,77%,1%,3%,1%,SP,13,12,0,0,12,2,9,0,1,SUPP,SUPP,92%,0%,0%,92%,15%,69%,0%,8%,SUPP,SUPP,227,225,4,2,219,34,176,3,6,SUPP,SUPP,99%,2%,1%,96%,15%,78%,1%,3%,SUPP,SUPP,236,98%,15,100%,221,98%,204,100%,11,SUPP,193,SUPP
2,919,7042,117690,0,Greenside School,CYS,8,8,0,0,8,0,0,0,8,0,0,100%,0%,0%,100%,0%,0%,0%,100%,0%,0%,2,SUPP,0,0,SUPP,0,0,0,SUPP,0,0,SUPP,0%,0%,SUPP,0%,0%,0%,SUPP,0%,0%,6,6,0,0,6,0,0,0,6,0,0,100%,0%,0%,100%,0%,0%,0%,100%,0%,0%,9,100%,2,SUPP,7,100%,6,100%,2,SUPP,4,SUPP
2,919,7028,117684,0,Amwell View School,CYS,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,6,100%,1,SUPP,5,SUPP,8,100%,6,100%,2,SUPP
1,919,4033,146440,0,Laureate Academy,AC,117,103,4,4,95,52,43,0,0,12,2,88%,3%,3%,81%,44%,37%,0%,0%,10%,2%,39,30,2,1,27,19,8,0,0,SUPP,SUPP,77%,5%,3%,69%,49%,21%,0%,0%,SUPP,SUPP,78,73,2,3,68,33,35,0,0,SUPP,SUPP,94%,3%,4%,87%,42%,45%,0%,0%,SUPP,SUPP,126,93%,35,91%,91,93%,122,89%,40,85%,82,91%
2,919,7010,117669,0,The Valley School,CYS,33,29,0,1,28,26,1,0,1,4,0,88%,0%,3%,85%,79%,3%,0%,3%,12%,0%,20,SUPP,0,SUPP,SUPP,SUPP,SUPP,0,SUPP,SUPP,0,SUPP,0%,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,0%,13,SUPP,0,SUPP,SUPP,SUPP,SUPP,0,SUPP,SUPP,0,SUPP,0%,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,0%,29,90%,15,SUPP,14,SUPP,29,90%,17,94%,12,83%
1,919,5408,137872,0,Bushey Meads School,ACC,180,173,2,6,165,38,115,10,2,7,0,96%,1%,3%,92%,21%,64%,6%,1%,4%,0%,33,30,0,2,28,12,15,1,0,3,0,91%,0%,6%,85%,36%,45%,3%,0%,9%,0%,147,143,2,4,137,26,100,9,2,4,0,97%,1%,3%,93%,18%,68%,6%,1%,3%,0%,190,96%,24,83%,166,98%,198,96%,33,91%,165,97%
1,919,5411,137224,0,Mount Grace School,ACC,94,88,1,6,81,47,32,1,1,5,1,94%,1%,6%,86%,50%,34%,1%,1%,5%,1%,21,SUPP,SUPP,SUPP,20,17,SUPP,SUPP,SUPP,0,SUPP,SUPP,SUPP,SUPP,95%,81%,SUPP,SUPP,SUPP,0%,SUPP,73,SUPP,SUPP,SUPP,61,30,SUPP,SUPP,SUPP,5,SUPP,SUPP,SUPP,SUPP,84%,41%,SUPP,SUPP,SUPP,7%,SUPP,108,94%,28,79%,80,99%,77,92%,17,88%,60,93%
2,919,7012,117671,0,St Luke's School,FDS,29,27,0,0,27,23,0,0,4,2,0,93%,0%,0%,93%,79%,0%,0%,14%,7%,0%,16,SUPP,0,0,SUPP,12,0,0,SUPP,SUPP,0,SUPP,0%,0%,SUPP,75%,0%,0%,SUPP,SUPP,0%,13,SUPP,0,0,SUPP,11,0,0,SUPP,SUPP,0,SUPP,0%,0%,SUPP,85%,0%,0%,SUPP,SUPP,0%,24,100%,11,100%,13,100%,18,94%,11,SUPP,7,SUPP
2,919,7022,117679,0,Lonsdale School,CYS,10,10,0,0,10,0,0,0,10,0,0,100%,0%,0%,100%,0%,0%,0%,100%,0%,0%,5,SUPP,0,0,SUPP,0,0,0,SUPP,0,0,SUPP,0%,0%,SUPP,0%,0%,0%,SUPP,0%,0%,5,SUPP,0,0,SUPP,0,0,0,SUPP,0,0,SUPP,0%,0%,SUPP,0%,0%,0%,SUPP,0%,0%,9,100%,4,SUPP,5,SUPP,9,78%,4,SUPP,5,SUPP
1,919,4606,117555,0,Townsend Church of England School,VA,140,129,0,2,127,60,63,3,1,9,2,92%,0%,1%,91%,43%,45%,2%,1%,6%,1%,40,36,0,SUPP,SUPP,24,9,SUPP,SUPP,4,0,90%,0%,SUPP,SUPP,60%,23%,SUPP,SUPP,10%,0%,100,93,0,SUPP,SUPP,36,54,SUPP,SUPP,5,2,93%,0%,SUPP,SUPP,36%,54%,SUPP,SUPP,5%,2%,104,92%,25,80%,79,96%,110,98%,22,SUPP,88,SUPP
1,919,4070,136973,0,Roundwood Park School,ACC,191,185,0,2,183,27,148,2,6,3,3,97%,0%,1%,96%,14%,77%,1%,3%,2%,2%,12,11,0,0,11,4,7,0,0,0,1,92%,0%,0%,92%,33%,58%,0%,0%,0%,8%,179,174,0,2,172,23,141,2,6,3,2,97%,0%,1%,96%,13%,79%,1%,3%,2%,1%,196,97%,15,93%,181,98%,192,98%,16,SUPP,176,SUPP
1,919,4013,137985,0,Presdales School,ACC,179,177,3,2,172,28,141,1,2,2,0,99%,2%,1%,96%,16%,79%,1%,1%,1%,0%,18,SUPP,0,SUPP,17,SUPP,7,SUPP,0,SUPP,0,SUPP,0%,SUPP,94%,SUPP,39%,SUPP,0%,SUPP,0%,161,SUPP,3,SUPP,155,SUPP,134,SUPP,2,SUPP,0,SUPP,2%,SUPP,96%,SUPP,83%,SUPP,1%,SUPP,0%,165,98%,12,SUPP,153,SUPP,168,98%,16,94%,152,98%
