LA,ESTAB,URN,PERCTOT,PPERSABS10
919,2000,117083,5.5,14
919,2001,139545,5.4,11
919,2002,117084,3.9,7.3
919,2003,136857,5.1,11.4
919,2004,138201,5.3,14.4
919,2005,131505,6.8,22.3
919,2007,132105,6.1,16.5
919,2008,132091,5.6,12.7
919,2009,138539,4.5,7.9
919,2011,117087,5.1,12
919,2012,117088,4.8,10.8
919,2013,117089,6,14.9
919,2014,117090,4.9,11.7
919,2016,117091,5.4,17.3
919,2017,117092,8.1,30.2
919,2019,117093,3.2,3.2
919,2020,145350,5.5,15
919,2022,117096,7.4,26.1
919,2023,117097,4.9,11
919,2024,144419,6.2,17.7
919,2025,117098,3.5,2.7
919,2026,133323,5.3,12.3
919,2027,133488,7.8,25.4
919,2028,138231,4.3,9
919,2029,138389,9.2,28.5
919,2030,117099,6.1,18.3
919,2031,117100,6,7
919,2032,117101,8.9,30
919,2033,117102,6.9,20.5
919,2034,117103,3.8,6.5
919,2035,138507,6.4,17.1
919,2036,139550,8.1,26.5
919,2038,140611,5.3,14.6
919,2039,117105,4.9,10.5
919,2040,117106,5,11.6
919,2041,117107,5,9.1
919,2042,140955,6.6,16.4
919,2043,140956,6.5,18.7
919,2044,117108,4,5.9
919,2045,117109,4.8,11.6
919,2047,117110,5.8,15.2
919,2049,140954,6.4,16.7
919,2050,117111,4.7,9.9
919,2051,142221,5.2,14.6
919,2053,117112,28,50
919,2054,142862,3.2,3.6
919,2055,117113,4.1,9.4
919,2056,117114,4.6,6.7
919,2057,117115,4.3,6.6
919,2060,143648,4.2,10
919,2061,117117,6.2,21.6
919,2062,117118,5.6,12.9
919,2063,143856,6.9,19
919,2064,117119,4,8.4
919,2066,117120,4.5,9.5
919,2067,144903,5.5,12.9
919,2068,144904,5.2,13.1
919,2069,117123,5.3,11.8
919,2071,144959,12,39.2
919,2072,117125,7,23.5
919,2073,117126,7.8,21.4
919,2074,117127,5,9.6
919,2077,117128,6.1,13.8
919,2078,117129,3.8,2.6
919,2079,117130,4,9.5
919,2080,144960,4.4,8.4
919,2081,145409,4.6,10.5
919,2082,117131,2.8,2.2
919,2083,117132,3.7,4.4
919,2084,117133,3.4,2.9
919,2085,117134,4.3,5.8
919,2086,145487,9.3,25.8
919,2088,146359,8,23.2
919,2089,147008,5.7,14.6
919,2090,117135,4.6,8.6
919,2091,117136,4.8,9.4
919,2092,147283,4.1,6.5
919,2093,138205,3.4,5.4
919,2094,138206,4.5,10.1
919,2095,148434,5.2,11.7
919,2096,117140,4.1,7.9
919,2097,147834,4.6,12.8
919,2098,117141,5,13.7
919,2099,139159,6,17.2
919,2100,117143,4,7.5
919,2101,117144,5.1,12.9
919,2102,117145,5.9,18.3
919,2103,117146,8.8,32.7
919,2105,117147,7,14.3
919,2106,117148,5.1,15
919,2107,117149,3.9,5.7
919,2108,117150,7.6,30.2
919,2109,117151,7.6,25.5
919,2110,143785,6.4,17.5
919,2111,117153,3.6,3.8
919,2112,148040,7.3,24.9
919,2113,149330,6.3,15.6
919,2114,117154,6.4,19.1
919,2115,145352,4.2,8.3
919,2116,117156,6,17.4
919,2117,117157,5.3,12.3
919,2118,149333,6.1,15.2
919,2120,117158,5.2,11.8
919,2121,149748,5.4,13.5
919,2122,117159,6.1,16.5
919,2123,117160,4.8,11.9
919,2124,117161,7.7,24.8
919,2125,117162,5.3,14.3
919,2126,117163,5.5,17.9
919,2130,146123,4.8,9.3
919,2131,117166,5.4,10.7
919,2132,117167,5,9.4
919,2133,117168,5.7,18.3
919,2135,144905,4.9,10.8
919,2137,144906,5.2,14.4
919,2139,117171,3.6,2.7
919,2140,148989,6.7,20.6
919,2142,117174,5.2,11.5
919,2143,117175,4.7,10
919,2145,117176,6.3,20.5
919,2146,117177,6.2,18.6
919,2147,117178,4.7,12.8
919,2151,117180,5.3,14.4
919,2153,117181,8.1,19.2
919,2154,117182,6.9,22.5
919,2155,117183,7.4,24.1
919,2156,145351,5.4,15.7
919,2165,117186,9.3,29.9
919,2166,117187,6.3,18.8
919,2168,117188,6.1,14.1
919,2169,117189,6.8,20.9
919,2177,117193,5.3,13.2
919,2178,117194,8.7,27.1
919,2181,117195,8.2,26.3
919,2184,117197,4.1,6.4
919,2188,117200,6.5,22.3
919,2193,117202,7.1,20
919,2198,117206,5.8,16.8
919,2203,117211,4.1,8.3
919,2206,146878,5,10.4
919,2210,117214,7.9,25
919,2219,117217,6.9,18
919,2223,117218,8,33.3
919,2224,117219,6.9,20.7
919,2225,117220,4.2,8.4
919,2226,117221,5.8,13.7
919,2227,117222,3.9,5.4
919,2228,117223,7.1,23
919,2229,117224,6.6,24
919,2235,143786,6.8,15.6
919,2237,117227,6.1,17.3
919,2240,117229,7,22.6
919,2242,117230,4.6,14
919,2243,117231,7,17.4
919,2250,117233,6.4,15.7
919,2251,117234,5.7,16.8
919,2252,117235,6.9,18
919,2253,117236,5.3,13.3
919,2258,148875,2.7,2.2
919,2261,117242,4.9,9.1
919,2263,117243,5,10.4
919,2266,117245,4.5,9.7
919,2274,117249,6.2,17.9
919,2280,117250,4.3,8.3
919,2283,117252,5.5,11.2
919,2287,117253,3.4,6.2
919,2288,117254,8.2,24.9
919,2289,117255,6.8,24
919,2293,117256,5.8,13
919,2296,145257,5.3,17.3
919,2299,117258,3.4,5.7
919,2300,117259,7.3,15.4
919,2301,117260,6.8,24.1
919,2302,117261,5.4,11.1
919,2304,117263,7.9,29.7
919,2308,117266,6,18.6
919,2311,146893,4.7,8.9
919,2312,117269,6.4,15.5
919,2314,117270,6.9,24
919,2316,117271,5.2,14.2
919,2317,117272,6.4,15.5
919,2322,117274,4.2,6.5
919,2326,117276,4.9,11.2
919,2327,117277,5.7,18.1
919,2331,117278,6.2,12.6
919,2332,117279,3.5,3.3
919,2333,117280,4,5.3
919,2336,117281,4.1,10.8
919,2337,137238,6.5,15.3
919,2338,117283,4.9,8.7
919,2339,117284,8.7,26.4
919,2343,148710,6.2,19.7
919,2344,140708,3.7,5
919,2348,117289,3.8,7
919,2349,117290,7.8,22.8
919,2353,117292,3.7,5.1
919,2354,117293,4.3,6
919,2356,117294,5,12
919,2360,117296,5.1,11
919,2362,117297,4.4,10.1
919,2364,117298,5,10.3
919,2365,149206,4.2,9
919,2372,145256,4.8,10.3
919,2375,117302,7,18.2
919,2378,117303,5.7,12.4
919,2379,117304,4.1,6.7
919,2380,117305,6.5,18
919,2381,117306,6.2,16.4
919,2384,143410,4.8,8.2
919,2385,144908,4.6,12.3
919,2386,117309,5.6,11.9
919,2387,117310,5.2,10.8
919,2389,117311,4.6,10.3
919,2390,140707,3,2.5
919,2391,117313,6.1,17.9
919,2392,117314,3.4,4.9
919,2393,117315,4.8,9.9
919,2394,117316,6.5,16.5
919,2395,117317,5.2,8.3
919,2397,117319,4.8,11.2
919,2398,143603,5.6,14.7
919,2401,147879,5.2,12.6
919,2405,117322,5.8,12.2
919,2406,117323,5.3,12.6
919,2407,117324,5.4,11
919,2411,117326,4.5,12.4
919,2412,117327,5.1,12.4
919,2414,117328,5,11
919,2415,117329,5.9,17.4
919,2416,117330,4.3,9.3
919,2417,117331,6.6,17.5
919,2422,117333,7.5,25.7
