LA,ESTAB,URN,PERCTOT,PPERSABS10
919,2424,117334,5.2,12.6
919,2426,117335,7.8,23.5
919,2427,117336,7.2,21.4
919,2428,117337,4,6.8
919,2429,143409,5.5,12.8
919,2432,145353,6.6,16.7
919,2433,117340,6,15.6
919,2436,145255,4.6,6.9
919,2437,117342,3,3.3
919,2442,117345,6.7,16.8
919,2443,117346,5.3,14.7
919,2444,145969,5.6,10.6
919,2448,117349,6.4,17.3
919,2451,117352,9.1,25.9
919,2452,117353,4.5,11.4
919,2454,137943,3.4,3.5
919,2457,117358,4,4.6
919,2462,117361,4.8,9.7
919,2464,117363,5.5,17.3
919,2465,117364,5.1,13.4
919,2466,117365,4.7,10.1
919,2467,117366,5.7,15.8
919,2468,117367,5.1,12.9
919,2469,117368,4.7,10.7
919,2980,117369,4.8,11.3
919,2982,117370,5.3,13.8
919,2985,117371,8.7,26.9
919,2991,117374,4.1,7.3
919,2994,117376,4.5,6.7
919,2995,117377,7,21.8
919,2996,117378,3.9,4.5
919,2997,117379,6.7,23.6
919,3000,117382,5.7,13.3
919,3003,147818,5.8,18.7
919,3004,117384,6.7,20.5
919,3005,117385,5.7,14.5
919,3006,117386,5.4,11.4
919,3007,117387,6.5,21
919,3008,117388,8.6,33.3
919,3009,117389,6.5,18.2
919,3011,117390,7.3,17.6
919,3012,117391,5.2,9.8
919,3013,117392,3.7,7
919,3015,117393,9.1,32.1
919,3016,117394,4.2,3.6
919,3018,117395,7.6,17.5
919,3020,117396,6.7,19
919,3025,117397,7,22
919,3026,117398,6,19.8
919,3029,117400,5.6,14.2
919,3030,117401,4.2,12.2
919,3032,117402,6.1,20
919,3034,117403,5.3,12.7
919,3037,146723,4.9,7.8
919,3038,117405,6.8,23.5
919,3039,117406,7.7,24.6
919,3040,117407,5.2,13.9
919,3041,117408,8,24.5
919,3042,117409,4.2,9.2
919,3043,117410,5.4,15.1
919,3047,117413,4.5,6.8
919,3049,117414,5.2,14.3
919,3053,117415,6,18.4
919,3054,117416,4.2,6.5
919,3301,117417,5.3,10.5
919,3302,117418,5.3,15.2
919,3303,117419,5.1,4.9
919,3306,117420,9.4,35
919,3307,117421,3.1,0.9
919,3308,117422,9.1,45.5
919,3314,117423,2.7,1
919,3315,117424,5.4,12.2
919,3318,148491,4.6,9.3
919,3319,117426,5.1,10.1
919,3326,117428,7.9,25.7
919,3327,148492,3.9,6.5
919,3329,117430,4.7,11.1
919,3333,117431,8.5,30
919,3334,117432,5.2,13.4
919,3335,117433,6.3,21
919,3336,117434,3.4,5.1
919,3339,117435,5.8,11.5
919,3341,148493,5.7,12.1
919,3344,117437,3.8,4.8
919,3345,148494,5.2,11
919,3347,117439,6.3,13.6
919,3348,117440,4.7,10.4
919,3349,117441,4.7,13
919,3350,117442,5.4,14.7
919,3352,117443,4.3,3.3
919,3353,117444,5.7,11.6
919,3357,117445,5.2,9.8
919,3358,117446,4.8,6
919,3359,117447,4.8,10.6
919,3360,117448,4.5,10.5
919,3361,117449,4.4,7.5
919,3363,117451,4.2,10.1
919,3364,117452,6.1,18
919,3366,117453,11.1,25.5
919,3367,148495,6.1,12.6
919,3368,117455,5.9,13.3
919,3369,117456,5.9,20.1
919,3370,117457,6.3,19.8
919,3371,117458,5.5,13.8
919,3373,117459,5.6,15.7
919,3376,117460,5.4,12.6
919,3378,117461,7.3,15
919,3379,117462,3.6,6.9
919,3380,117463,4.3,5.4
919,3382,117464,5.6,14.3
919,3383,117465,5.1,12.7
919,3384,117466,4.8,7.2
919,3385,117467,3.6,5.5
919,3386,117468,5.3,11.1
919,3388,117469,4.3,11
919,3389,117470,4.4,6.3
919,3391,149741,5.3,11.7
919,3393,117472,6.2,14.6
919,3394,117473,6,17
919,3397,117474,3.4,2.2
919,3398,146859,6.8,13.7
919,3399,138322,6.2,20.3
919,3400,138354,3.7,5.5
919,3401,117478,4,7
919,3402,149742,4.6,7.1
919,3403,148990,4.9,10.3
919,3404,117481,3.8,5.5
919,3406,140238,3.5,5.4
919,3408,148496,6.2,17.3
919,3409,117484,5.4,9.8
919,3410,146922,4.7,6.8
919,3413,138316,5.2,15.6
919,3415,117488,4.1,7.8
919,3416,117489,5,11.4
919,3419,117490,4.3,8.4
919,3421,117491,4.3,5.8
919,3423,117492,5.8,15.2
919,3424,148498,5.2,12.5
919,3428,117495,4.7,10.6
919,3975,117496,4.6,7.2
919,3976,117497,8.9,30.7
919,3977,117498,5.4,9.2
919,3978,133773,7.3,20.6
919,3979,141851,4.4,8.1
919,3981,144907,4.3,6.6
919,3983,135083,6.9,19.1
919,3984,135084,6.3,15.6
919,3985,146903,4.2,6.8
919,3986,137351,4.7,9
919,3987,135221,8.4,25.7
919,3988,135222,10.3,37.6
919,3989,135223,6.5,17.4
919,3990,135224,6.4,21.9
919,3991,144909,7.7,24.1
919,3992,135528,4.6,10.2
919,4000,117499,8,19.8
919,4001,138747,11.6,35.6
919,4003,138582,5.6,13.9
919,4004,139416,12.8,43.1
919,4005,149500,7.6,20.6
919,4006,139873,6.2,13.9
919,4007,139662,8.5,25.5
919,4008,139154,5,12.3
919,4009,137288,7.7,19.2
919,4010,117504,11.5,33.6
919,4011,137038,8.2,24.2
919,4013,137985,8,27.3
919,4014,137847,6.6,16.6
919,4016,136608,7.8,21.1
919,4017,140037,8.5,22.6
919,4022,142051,7.6,22.9
919,4024,143131,6.9,22.1
919,4025,144402,8.1,22.7
919,4026,144623,10.1,29.7
919,4028,137270,4.1,7.9
919,4030,145890,7.2,18.5
919,4031,146305,13.7,34.1
919,4032,145430,11.1,32.3
919,4033,146440,14.8,39.7
919,4035,147535,12,40.1
919,4036,147785,8.6,24.8
919,4037,149078,4.6,9.9
919,4039,150656,11.7,43.6
919,4043,138286,5.2,10.6
919,4066,117518,10.8,31
919,4067,140294,5.4,10.5
919,4070,136973,6.7,15.3
919,4080,137110,8.8,23.8
919,4083,137339,7.1,20
919,4096,139036,9.9,30.5
919,4099,137757,7.5,17.7
919,4101,136396,6.1,14.2
919,4104,117530,7.6,23.4
919,4111,140049,9.1,29.4
919,4116,117534,9.9,27.2
919,4117,138484,12.9,36.5
919,4118,138632,8.1,22.9
919,4122,150217,10.3,30
919,4140,137656,8.6,23.3
919,4141,137002,7.7,20.2
919,4144,117541,3.2,4.4
919,4146,140249,6.8,18.2
919,4197,136609,5.2,12.9
919,4200,137637,9.3,30.7
919,4498,137090,6,15.7
919,4499,117552,12.7,37.9
919,4504,138352,11,34.8
919,4506,117554,8.4,24.6
919,4606,117555,12.3,35.3
919,4614,138356,6.6,24.8
919,4619,149743,7.4,20.1
919,4620,138106,7.5,22.7
919,4627,117559,6,15.6
919,4802,136922,6.1,12.9
919,5200,138292,5.3,14.9
919,5201,139507,4.2,9.2
919,5202,117562,6,18.4
919,5203,117563,5,9
919,5204,117564,9.1,30.7
919,5205,117565,4.9,9.3
919,5206,138215,5.2,11.9
919,5207,117567,5.3,13.4
919,5208,137861,8.3,29.2
919,5209,117569,5.6,12.9
919,5210,117570,5.4,11.6
919,5211,138288,4.7,8.9
919,5212,141898,5.2,12.2
919,5213,131456,5.1,9.4
919,5400,136606,5.2,10.7
919,5401,136276,6.8,21.3
919,5403,136289,7.2,24.4
919,5404,136899,6.6,22.7
919,5405,117577,5.5,10.8
919,5406,117578,8.7,23.8
919,5407,136554,4.2,8.2
919,5408,137872,14.1,39.6
919,5410,136877,5.7,11.8
919,5411,137224,12.7,39.9
919,5412,137938,5.1,10.5
919,5413,137895,5.5,13.7
919,5414,138042,9.7,35.5
919,5415,137532,6.5,16.4
919,5416,137156,8.8,26.8
919,5417,137922,6.5,15.2
919,5418,137914,7.9,22.2
919,5419,147246,8.7,23.6
919,5420,140786,7.5,22.2
919,5421,136901,6.9,24.4
919,5422,148499,6.8,21.9
919,5423,138360,8.3,26.4
919,5425,145297,8.4,22.1
919,5427,136482,6.6,16.2
919,6905,135876,12.2,34.2
919,7003,147679,26.6,65.3
919,7004,141251,9.8,25.9
919,7006,117665,12.1,41.9
919,7007,138485,6.1,17.2
919,7008,117667,9,28.6
919,7010,117669,8.8,22.4
919,7011,117670,11.7,28.7
919,7012,117671,11.5,32.2
919,7013,117672,12.3,35.4
919,7014,142257,21.8,49.4
919,7016,117674,23.8,55
919,7019,117676,7.4,24.8
919,7022,117679,15.3,52.8
919,7023,117680,10.7,36.3
919,7024,117681,17.3,51.6
919,7025,117682,12.6,43.2
919,7026,117683,17.1,34.5
919,7028,117684,9.3,26.3
919,7030,149736,32,68.4
919,7032,117685,8.9,32.7
919,7033,117686,45.2,83.7
919,7034,143604,9.4,31.8
919,7041,137997,7.8,24.6
919,7042,117690,13.8,42.2
919,7043,117691,17.1,57.6
919,7044,130362,8.2,27.7
919,7047,131319,11.4,39.3
919,PRI,,5.4,13.4
919,SEC,,8,22.8
919,SPE,,13.2,36.6
NAT,PRI,,5.5,14.6
NAT,SEC,,8.9,25.6
NAT,SPE,,13,37.2
