RECTYPE,LEA,ESTAB,URN,ICLOSE,SCHNAME,NFTYPE,COHORT,OVERALL_DEST,APPREN,EMPLOYMENT,EDUCATION,FE,SCH_6TH,SIXTH_COL,OTHER_EDU,NOT_SUSTAINED,UNKNOWN,OVERALL_DESTPER,APPRENPER,EMPLOYMENTPER,EDUCATIONPER,FEPER,SCH_6THPER,SIXTH_COLPER,OTHER_EDUPER,NOT_SUSTAINEDPER,UNKNOWNPER,COHORT_DIS,OVERALL_DEST_DIS,APPREN_DIS,EMPLOYMENT_DIS,EDUCATION_DIS,FE_DIS,SCH_6TH_DIS,SIXTH_COL_DIS,OTHER_EDU_DIS,NOT_SUSTAINED_DIS,UNKNOWN_DIS,OVERALL_DESTPER_DIS,APPRENPER_DIS,EMPLOYMENTPER_DIS,EDUCATIONPER_DIS,FEPER_DIS,SCH_6THPER_DIS,SIXTH_COLPER_DIS,OTHER_EDUPER_DIS,NOT_SUSTAINEDPER_DIS,UNKNOWNPER_DIS,COHORT_NONDIS,OVERALL_DEST_NONDIS,APPREN_NONDIS,EMPLOYMENT_NONDIS,EDUCATION_NONDIS,FE_NONDIS,SCH_6TH_NONDIS,SIXTH_COL_NONDIS,OTHER_EDU_NONDIS,NOT_SUSTAINED_NONDIS,UNKNOWN_NONDIS,OVERALL_DESTPER_NONDIS,APPRENPER_NONDIS,EMPLOYMENTPER_NONDIS,EDUCATIONPER_NONDIS,FEPER_NONDIS,SCH_6THPER_NONDIS,SIXTH_COLPER_NONDIS,OTHER_EDUPER_NONDIS,NOT_SUSTAINEDPER_NONDIS,UNKNOWNPER_NONDIS,COHORT_21,OVERALL_DESTPER_21,COHORT_DIS_21,OVERALL_DESTPER_DIS_21,COHORT_NONDIS_21,OVERALL_DESTPER_NONDIS_21,COHORT_20,OVERALL_DESTPER_20,COHORT_DIS_20,OVERALL_DESTPER_DIS_20,COHORT_NONDIS_20,OVERALL_DESTPER_NONDIS_20
1,919,4117,138484,0,The Sele School,ACC,51,48,1,1,46,29,17,0,0,2,1,94%,2%,2%,90%,57%,33%,0%,0%,4%,2%,17,16,SUPP,SUPP,SUPP,11,SUPP,0,0,SUPP,SUPP,94%,SUPP,SUPP,SUPP,65%,SUPP,0%,0%,SUPP,SUPP,34,32,SUPP,SUPP,SUPP,18,SUPP,0,0,SUPP,SUPP,94%,SUPP,SUPP,SUPP,53%,SUPP,0%,0%,SUPP,SUPP,64,91%,12,92%,52,90%,76,93%,28,93%,48,94%
1,919,4118,138632,0,Monk's Walk School,ACC,219,212,4,9,199,70,129,0,0,6,1,97%,2%,4%,91%,32%,59%,0%,0%,3%,SP,33,29,2,2,25,16,9,0,0,SUPP,SUPP,88%,6%,6%,76%,48%,27%,0%,0%,SUPP,SUPP,186,183,2,7,174,54,120,0,0,SUPP,SUPP,98%,1%,4%,94%,29%,65%,0%,0%,SUPP,SUPP,217,98%,31,90%,186,99%,219,97%,25,80%,194,99%
1,919,4122,117537,0,The Highfield School,FD,178,166,3,13,150,62,85,1,2,10,2,93%,2%,7%,84%,35%,48%,1%,1%,6%,1%,49,43,0,4,39,28,10,SUPP,SUPP,6,0,88%,0%,8%,80%,57%,20%,SUPP,SUPP,12%,0%,129,123,3,9,111,34,75,SUPP,SUPP,4,2,95%,2%,7%,86%,26%,58%,SUPP,SUPP,3%,2%,169,93%,45,87%,124,95%,169,95%,41,85%,128,98%
1,919,4140,137656,0,King James Academy Royston,ACC,69,66,3,3,60,27,5,28,0,3,0,96%,4%,4%,87%,39%,7%,41%,0%,4%,0%,11,SUPP,SUPP,1,8,5,1,2,0,SUPP,0,SUPP,SUPP,9%,73%,45%,9%,18%,0%,SUPP,0%,58,SUPP,SUPP,2,52,22,4,26,0,SUPP,0,SUPP,SUPP,3%,90%,38%,7%,45%,0%,SUPP,0%,99,94%,11,82%,88,95%,98,97%,14,SUPP,84,SUPP
1,919,4141,137002,0,Freman College,ACC,249,243,4,4,235,68,134,29,4,6,0,98%,2%,2%,94%,27%,54%,12%,2%,2%,0%,22,21,0,1,20,12,7,1,0,1,0,95%,0%,5%,91%,55%,32%,5%,0%,5%,0%,227,222,4,3,215,56,127,28,4,5,0,98%,2%,1%,95%,25%,56%,12%,2%,2%,0%,201,97%,24,83%,177,99%,229,98%,19,SUPP,210,SUPP
1,919,4197,136609,0,Sandringham School,ACC,209,207,3,1,203,33,168,0,2,2,0,99%,1%,SP,97%,16%,80%,0%,1%,1%,0%,24,24,SUPP,SUPP,21,SUPP,12,0,SUPP,0,0,100%,SUPP,SUPP,88%,SUPP,50%,0%,SUPP,0%,0%,185,183,SUPP,SUPP,182,SUPP,156,0,SUPP,2,0,99%,SUPP,SUPP,98%,SUPP,84%,0%,SUPP,1%,0%,211,98%,24,92%,187,98%,181,99%,9,89%,172,99%
1,919,4200,137637,0,Birchwood High School,ACC,214,203,3,6,194,80,107,4,3,10,1,95%,1%,3%,91%,37%,50%,2%,1%,5%,SP,32,29,0,2,27,13,12,2,0,SUPP,SUPP,91%,0%,6%,84%,41%,38%,6%,0%,SUPP,SUPP,182,174,3,4,167,67,95,2,3,SUPP,SUPP,96%,2%,2%,92%,37%,52%,1%,2%,SUPP,SUPP,229,95%,28,89%,201,96%,232,96%,33,91%,199,96%
1,919,4498,137090,0,The Chauncy School,ACC,155,151,7,6,138,57,81,0,0,3,1,97%,5%,4%,89%,37%,52%,0%,0%,2%,1%,34,33,1,1,31,20,11,0,0,SUPP,SUPP,97%,3%,3%,91%,59%,32%,0%,0%,SUPP,SUPP,121,118,6,5,107,37,70,0,0,SUPP,SUPP,98%,5%,4%,88%,31%,58%,0%,0%,SUPP,SUPP,168,96%,29,86%,139,98%,165,93%,29,79%,136,96%
1,919,4499,117552,0,The Astley Cooper School,CY,102,96,2,9,85,43,42,0,0,6,0,94%,2%,9%,83%,42%,41%,0%,0%,6%,0%,57,53,0,7,46,25,21,0,0,4,0,93%,0%,12%,81%,44%,37%,0%,0%,7%,0%,45,43,2,2,39,18,21,0,0,2,0,96%,4%,4%,87%,40%,47%,0%,0%,4%,0%,73,90%,39,SUPP,34,SUPP,74,96%,28,100%,46,93%
1,919,4504,138352,0,Tring School,ACC,235,228,3,6,219,55,159,1,4,4,3,97%,1%,3%,93%,23%,68%,SP,2%,2%,1%,32,30,0,1,29,SUPP,18,SUPP,0,2,0,94%,0%,3%,91%,SUPP,56%,SUPP,0%,6%,0%,203,198,3,5,190,SUPP,141,SUPP,4,2,3,98%,1%,2%,94%,SUPP,69%,SUPP,2%,1%,1%,238,96%,29,86%,209,98%,235,99%,23,96%,212,99%
