LA,ESTAB,URN,PERCTOT,PPERSABS10
919,2000,117083,4.9,12.3
919,2001,139545,5,9
919,2002,117084,3.4,3.9
919,2003,136857,5.9,11.7
919,2004,138201,5.5,13.4
919,2005,131505,8.2,26.3
919,2007,132105,6.5,20.6
919,2008,132091,6.2,16.7
919,2009,138539,4.8,8.2
919,2011,117087,5.9,13.2
919,2012,117088,4.8,10.3
919,2013,117089,5.6,14.2
919,2014,117090,5.6,12.5
919,2016,117091,5.7,17.4
919,2017,117092,7.4,25
919,2019,117093,3.5,5.3
919,2020,145350,6.1,17.7
919,2022,117096,7.3,21.7
919,2023,117097,5.7,15.2
919,2024,144419,6.8,21.1
919,2025,117098,4.3,5.9
919,2026,133323,5.9,17.1
919,2027,133488,8.2,25.1
919,2028,138231,3.8,5.6
919,2029,138389,8.2,19.9
919,2030,117099,7.1,23.7
919,2031,117100,6.8,10.4
919,2032,117101,8,38.6
919,2033,117102,6.8,17.9
919,2034,117103,4.4,7.7
919,2035,138507,7.5,23
919,2036,139550,10,33.5
919,2038,140611,4.7,10.6
919,2039,117105,5.1,13.3
919,2040,117106,5.8,12.7
919,2041,117107,4.2,6.7
919,2042,140955,6.7,19.8
919,2043,140956,7.1,21.6
919,2044,117108,4.1,7.1
919,2045,117109,4.7,8.1
919,2047,117110,5.8,18.6
919,2049,140954,6.9,24.1
919,2050,117111,4.4,8
919,2051,142221,5.7,12.9
919,2053,117112,8.7,28.6
919,2054,142862,3.1,3
919,2055,117113,4.8,12.7
919,2056,117114,4.4,8.3
919,2057,117115,4.4,8.9
919,2060,143648,4.7,6.5
919,2061,117117,5.8,13.5
919,2062,117118,6.2,18.7
919,2063,143856,7.7,23.4
919,2064,117119,4.8,10.1
919,2066,117120,4.4,6.9
919,2067,144903,5.6,16.1
919,2068,144904,5.2,10.6
919,2069,117123,7.8,23.6
919,2071,144959,9.8,36
919,2072,117125,5.7,13.4
919,2073,117126,7.5,20.6
919,2074,117127,5.2,12.5
919,2077,117128,6.3,17.1
919,2078,117129,3.5,0
919,2079,117130,4.3,6.3
919,2080,144960,4.2,7.3
919,2081,145409,5.2,15
919,2082,117131,3.1,3.3
919,2083,117132,4.1,4.8
919,2084,117133,3.6,4.4
919,2085,117134,4.6,8
919,2086,145487,6.9,20.1
919,2088,146359,6.5,25
919,2089,147008,5.8,14.5
919,2090,117135,4.9,10.5
919,2091,117136,4.5,11.1
919,2092,147283,3.7,4.8
919,2093,138205,4.4,8
919,2094,138206,4,8.1
919,2095,148434,5.5,12.6
919,2096,117140,5.1,14.8
919,2097,147834,5.1,14
919,2098,117141,4.3,7.9
919,2099,139159,6.8,19.2
919,2100,117143,4.1,6.4
919,2101,117144,6.8,24.2
919,2102,117145,6.5,16.1
919,2103,117146,8.7,29.2
919,2105,117147,4.9,7.9
919,2106,117148,5.6,13.7
919,2107,117149,4.8,6.6
919,2108,117150,8,28.6
919,2109,117151,7.5,25.9
919,2110,143785,7.1,19.7
919,2111,117153,4.2,4.3
919,2112,148040,6.8,20.1
919,2113,149330,6.7,18.2
919,2114,117154,8,22.1
919,2115,145352,5.3,11.6
919,2116,117156,7.4,23.5
919,2117,117157,7.6,19
919,2118,149333,7,22
919,2120,117158,5.9,15.4
919,2122,117159,8,26
919,2123,117160,5.8,16.2
919,2124,117161,8.4,32.8
919,2125,117162,5.2,14
919,2126,117163,5.4,10.5
919,2130,146123,6,14.1
919,2131,117166,5.5,11.6
919,2132,117167,5.1,11
919,2133,117168,5.4,13.6
919,2135,144905,5.3,12.4
919,2137,144906,5.9,17.4
919,2139,117171,3.7,2.6
919,2140,148989,6.3,14.6
919,2142,117174,5,12.6
919,2143,117175,5.4,10.1
919,2145,117176,7.1,25.6
919,2146,117177,5.6,20
919,2147,117178,4.9,10.9
