RECTYPE,LEA,ESTAB,URN,ICLOSE,SCHNAME,NFTYPE,COHORT,OVERALL_DEST,APPREN,EMPLOYMENT,EDUCATION,FE,SCH_6TH,SIXTH_COL,OTHER_EDU,NOT_SUSTAINED,UNKNOWN,OVERALL_DESTPER,APPRENPER,EMPLOYMENTPER,EDUCATIONPER,FEPER,SCH_6THPER,SIXTH_COLPER,OTHER_EDUPER,NOT_SUSTAINEDPER,UNKNOWNPER,COHORT_DIS,OVERALL_DEST_DIS,APPREN_DIS,EMPLOYMENT_DIS,EDUCATION_DIS,FE_DIS,SCH_6TH_DIS,SIXTH_COL_DIS,OTHER_EDU_DIS,NOT_SUSTAINED_DIS,UNKNOWN_DIS,OVERALL_DESTPER_DIS,APPRENPER_DIS,EMPLOYMENTPER_DIS,EDUCATIONPER_DIS,FEPER_DIS,SCH_6THPER_DIS,SIXTH_COLPER_DIS,OTHER_EDUPER_DIS,NOT_SUSTAINEDPER_DIS,UNKNOWNPER_DIS,COHORT_NONDIS,OVERALL_DEST_NONDIS,APPREN_NONDIS,EMPLOYMENT_NONDIS,EDUCATION_NONDIS,FE_NONDIS,SCH_6TH_NONDIS,SIXTH_COL_NONDIS,OTHER_EDU_NONDIS,NOT_SUSTAINED_NONDIS,UNKNOWN_NONDIS,OVERALL_DESTPER_NONDIS,APPRENPER_NONDIS,EMPLOYMENTPER_NONDIS,EDUCATIONPER_NONDIS,FEPER_NONDIS,SCH_6THPER_NONDIS,SIXTH_COLPER_NONDIS,OTHER_EDUPER_NONDIS,NOT_SUSTAINEDPER_NONDIS,UNKNOWNPER_NONDIS,COHORT_20,OVERALL_DESTPER_20,COHORT_DIS_20,OVERALL_DESTPER_DIS_20,COHORT_NONDIS_20,OVERALL_DESTPER_NONDIS_20,COHORT_19,OVERALL_DESTPER_19,COHORT_DIS_19,OVERALL_DESTPER_DIS_19,COHORT_NONDIS_19,OVERALL_DESTPER_NONDIS_19
1,919,4083,137339,0,St Albans Girls' School,ACC,208,202,1,1,200,42,153,1,4,4,2,97%,SP,SP,96%,20%,74%,SP,2%,2%,1%,20,18,SUPP,SUPP,SUPP,SUPP,11,SUPP,0,SUPP,SUPP,90%,SUPP,SUPP,SUPP,SUPP,55%,SUPP,0%,SUPP,SUPP,188,184,SUPP,SUPP,SUPP,SUPP,142,SUPP,4,SUPP,SUPP,98%,SUPP,SUPP,SUPP,SUPP,76%,SUPP,2%,SUPP,SUPP,194,98%,19,89%,175,99%,198,98%,25,88%,173,99%
1,919,5421,136901,0,St Clement Danes School,ACC,204,203,0,1,202,44,154,4,0,1,0,100%,0%,SP,99%,22%,75%,2%,0%,SP,0%,11,SUPP,0,SUPP,SUPP,SUPP,5,0,0,SUPP,0,SUPP,0%,SUPP,SUPP,SUPP,45%,0%,0%,SUPP,0%,193,SUPP,0,SUPP,SUPP,SUPP,149,4,0,SUPP,0,SUPP,0%,SUPP,SUPP,SUPP,77%,2%,0%,SUPP,0%,202,100%,11,100%,191,100%,198,97%,14,86%,184,98%
2,919,7042,117690,0,Greenside School,CYS,6,6,0,0,6,0,0,0,6,0,0,100%,0%,0%,100%,0%,0%,0%,100%,0%,0%,2,SUPP,0,0,SUPP,0,0,0,SUPP,0,0,SUPP,0%,0%,SUPP,0%,0%,0%,SUPP,0%,0%,4,SUPP,0,0,SUPP,0,0,0,SUPP,0,0,SUPP,0%,0%,SUPP,0%,0%,0%,SUPP,0%,0%,7,100%,3,SUPP,4,SUPP,15,93%,SUPP,SUPP,SUPP,SUPP
2,919,7028,117684,0,Amwell View School,CYS,8,8,0,0,8,0,0,0,8,0,0,100%,0%,0%,100%,0%,0%,0%,100%,0%,0%,6,6,0,0,6,0,0,0,6,0,0,100%,0%,0%,100%,0%,0%,0%,100%,0%,0%,2,SUPP,0,0,SUPP,0,0,0,SUPP,0,0,SUPP,0%,0%,SUPP,0%,0%,0%,SUPP,0%,0%,8,100%,1,SUPP,7,100%,4,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,4033,146440,0,Laureate Academy,AC,122,109,1,4,104,69,35,0,0,12,1,89%,1%,3%,85%,57%,29%,0%,0%,10%,1%,40,34,SUPP,SUPP,31,23,8,0,0,SUPP,SUPP,85%,SUPP,SUPP,78%,58%,20%,0%,0%,SUPP,SUPP,82,75,SUPP,SUPP,73,46,27,0,0,SUPP,SUPP,91%,SUPP,SUPP,89%,56%,33%,0%,0%,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,919,7010,117669,0,The Valley School,CYS,29,26,0,0,26,26,0,0,0,3,0,90%,0%,0%,90%,90%,0%,0%,0%,10%,0%,17,16,0,0,16,16,0,0,0,1,0,94%,0%,0%,94%,94%,0%,0%,0%,6%,0%,12,10,0,0,10,10,0,0,0,2,0,83%,0%,0%,83%,83%,0%,0%,0%,17%,0%,25,92%,18,SUPP,7,SUPP,23,83%,12,75%,11,91%
1,919,5408,137872,0,Bushey Meads School,ACC,198,190,1,1,188,49,132,5,2,7,1,96%,1%,1%,95%,25%,67%,3%,1%,4%,1%,33,30,SUPP,SUPP,29,13,14,2,0,SUPP,SUPP,91%,SUPP,SUPP,88%,39%,42%,6%,0%,SUPP,SUPP,165,160,SUPP,SUPP,159,36,118,3,2,SUPP,SUPP,97%,SUPP,SUPP,96%,22%,72%,2%,1%,SUPP,SUPP,166,97%,24,92%,142,98%,168,99%,32,97%,136,99%
1,919,5411,137224,0,Mount Grace School,ACC,77,71,0,2,69,41,28,0,0,4,2,92%,0%,3%,90%,53%,36%,0%,0%,5%,3%,17,15,0,0,15,11,4,0,0,SUPP,SUPP,88%,0%,0%,88%,65%,24%,0%,0%,SUPP,SUPP,60,56,0,2,54,30,24,0,0,SUPP,SUPP,93%,0%,3%,90%,50%,40%,0%,0%,SUPP,SUPP,111,94%,23,83%,88,97%,107,98%,19,95%,88,99%
2,919,7012,117671,0,St Luke's School,FDS,18,17,0,2,15,14,0,0,1,1,0,94%,0%,11%,83%,78%,0%,0%,6%,6%,0%,11,SUPP,0,SUPP,10,SUPP,0,0,SUPP,SUPP,0,SUPP,0%,SUPP,91%,SUPP,0%,0%,SUPP,SUPP,0%,7,SUPP,0,SUPP,5,SUPP,0,0,SUPP,SUPP,0,SUPP,0%,SUPP,71%,SUPP,0%,0%,SUPP,SUPP,0%,18,100%,5,SUPP,13,100%,11,91%,SUPP,SUPP,SUPP,SUPP
2,919,7022,117679,0,Lonsdale School,CYS,9,7,0,0,7,0,0,0,7,1,1,78%,0%,0%,78%,0%,0%,0%,78%,11%,11%,4,SUPP,0,0,SUPP,0,0,0,SUPP,SUPP,SUPP,SUPP,0%,0%,SUPP,0%,0%,0%,SUPP,SUPP,SUPP,5,SUPP,0,0,SUPP,0,0,0,SUPP,SUPP,SUPP,SUPP,0%,0%,SUPP,0%,0%,0%,SUPP,SUPP,SUPP,11,100%,6,100%,5,SUPP,10,90%,SUPP,SUPP,SUPP,SUPP
