RECTYPE,LEA,ESTAB,URN,ICLOSE,SCHNAME,NFTYPE,COHORT,OVERALL_DEST,APPREN,EMPLOYMENT,EDUCATION,FE,SCH_6TH,SIXTH_COL,OTHER_EDU,NOT_SUSTAINED,UNKNOWN,OVERALL_DESTPER,APPRENPER,EMPLOYMENTPER,EDUCATIONPER,FEPER,SCH_6THPER,SIXTH_COLPER,OTHER_EDUPER,NOT_SUSTAINEDPER,UNKNOWNPER,COHORT_DIS,OVERALL_DEST_DIS,APPREN_DIS,EMPLOYMENT_DIS,EDUCATION_DIS,FE_DIS,SCH_6TH_DIS,SIXTH_COL_DIS,OTHER_EDU_DIS,NOT_SUSTAINED_DIS,UNKNOWN_DIS,OVERALL_DESTPER_DIS,APPRENPER_DIS,EMPLOYMENTPER_DIS,EDUCATIONPER_DIS,FEPER_DIS,SCH_6THPER_DIS,SIXTH_COLPER_DIS,OTHER_EDUPER_DIS,NOT_SUSTAINEDPER_DIS,UNKNOWNPER_DIS,COHORT_NONDIS,OVERALL_DEST_NONDIS,APPREN_NONDIS,EMPLOYMENT_NONDIS,EDUCATION_NONDIS,FE_NONDIS,SCH_6TH_NONDIS,SIXTH_COL_NONDIS,OTHER_EDU_NONDIS,NOT_SUSTAINED_NONDIS,UNKNOWN_NONDIS,OVERALL_DESTPER_NONDIS,APPRENPER_NONDIS,EMPLOYMENTPER_NONDIS,EDUCATIONPER_NONDIS,FEPER_NONDIS,SCH_6THPER_NONDIS,SIXTH_COLPER_NONDIS,OTHER_EDUPER_NONDIS,NOT_SUSTAINEDPER_NONDIS,UNKNOWNPER_NONDIS,COHORT_20,OVERALL_DESTPER_20,COHORT_DIS_20,OVERALL_DESTPER_DIS_20,COHORT_NONDIS_20,OVERALL_DESTPER_NONDIS_20,COHORT_19,OVERALL_DESTPER_19,COHORT_DIS_19,OVERALL_DESTPER_DIS_19,COHORT_NONDIS_19,OVERALL_DESTPER_NONDIS_19
1,919,4606,117555,0,Townsend VA Church of England,VA,110,108,2,1,105,33,69,3,0,2,0,98%,2%,1%,95%,30%,63%,3%,0%,2%,0%,22,SUPP,0,SUPP,SUPP,9,9,SUPP,0,SUPP,0,SUPP,0%,SUPP,SUPP,41%,41%,SUPP,0%,SUPP,0%,88,SUPP,2,SUPP,SUPP,24,60,SUPP,0,SUPP,0,SUPP,2%,SUPP,SUPP,27%,68%,SUPP,0%,SUPP,0%,87,97%,21,SUPP,66,SUPP,75,100%,8,100%,67,100%
1,919,4070,136973,0,Roundwood Park School,ACC,192,189,1,3,185,29,154,0,2,3,0,98%,1%,2%,96%,15%,80%,0%,1%,2%,0%,16,SUPP,SUPP,0,14,1,13,0,0,SUPP,0,SUPP,SUPP,0%,88%,6%,81%,0%,0%,SUPP,0%,176,SUPP,SUPP,3,171,28,141,0,2,SUPP,0,SUPP,SUPP,2%,97%,16%,80%,0%,1%,SUPP,0%,194,98%,12,83%,182,99%,191,97%,15,87%,176,98%
1,919,4013,137985,0,Presdales School,ACC,168,164,1,0,163,28,125,4,6,3,1,98%,1%,0%,97%,17%,74%,2%,4%,2%,1%,16,15,SUPP,0,SUPP,SUPP,9,0,0,SUPP,SUPP,94%,SUPP,0%,SUPP,SUPP,56%,0%,0%,SUPP,SUPP,152,149,SUPP,0,SUPP,SUPP,116,4,6,SUPP,SUPP,98%,SUPP,0%,SUPP,SUPP,76%,3%,4%,SUPP,SUPP,169,99%,14,SUPP,155,SUPP,166,98%,15,100%,151,97%
1,919,4008,139154,0,Hitchin Boys' School,ACC,169,166,0,3,163,35,124,2,2,3,0,98%,0%,2%,96%,21%,73%,1%,1%,2%,0%,10,9,0,0,9,7,2,0,0,1,0,90%,0%,0%,90%,70%,20%,0%,0%,10%,0%,159,157,0,3,154,28,122,2,2,2,0,99%,0%,2%,97%,18%,77%,1%,1%,1%,0%,158,97%,10,90%,148,97%,161,96%,17,82%,144,98%
1,919,4504,138352,0,Tring School,ACC,238,229,3,1,225,72,148,1,4,7,2,96%,1%,SP,95%,30%,62%,SP,2%,3%,1%,29,25,SUPP,SUPP,23,SUPP,7,SUPP,0,SUPP,SUPP,86%,SUPP,SUPP,79%,SUPP,24%,SUPP,0%,SUPP,SUPP,209,204,SUPP,SUPP,202,SUPP,141,SUPP,4,SUPP,SUPP,98%,SUPP,SUPP,97%,SUPP,67%,SUPP,2%,SUPP,SUPP,235,99%,23,96%,212,99%,238,97%,25,96%,213,97%
1,919,6905,135876,0,Future Academies Watford,AC,185,179,2,2,175,114,59,2,0,6,0,97%,1%,1%,95%,62%,32%,1%,0%,3%,0%,51,50,SUPP,SUPP,47,33,SUPP,SUPP,0,1,0,98%,SUPP,SUPP,92%,65%,SUPP,SUPP,0%,2%,0%,134,129,SUPP,SUPP,128,81,SUPP,SUPP,0,5,0,96%,SUPP,SUPP,96%,60%,SUPP,SUPP,0%,4%,0%,183,92%,54,91%,129,92%,182,94%,61,92%,121,95%
1,919,4117,138484,0,The Sele School,ACC,64,58,1,3,54,35,19,0,0,4,2,91%,2%,5%,84%,55%,30%,0%,0%,6%,3%,12,11,SUPP,0,SUPP,9,SUPP,0,0,SUPP,SUPP,92%,SUPP,0%,SUPP,75%,SUPP,0%,0%,SUPP,SUPP,52,47,SUPP,3,SUPP,26,SUPP,0,0,SUPP,SUPP,90%,SUPP,6%,SUPP,50%,SUPP,0%,0%,SUPP,SUPP,76,93%,28,93%,48,94%,56,91%,17,88%,39,92%
1,919,4619,117557,0,John F Kennedy Catholic School,VA,178,173,1,2,170,65,96,7,2,4,1,97%,1%,1%,96%,37%,54%,4%,1%,2%,1%,29,25,SUPP,0,SUPP,13,11,SUPP,0,SUPP,SUPP,86%,SUPP,0%,SUPP,45%,38%,SUPP,0%,SUPP,SUPP,149,148,SUPP,2,SUPP,52,85,SUPP,2,SUPP,SUPP,99%,SUPP,1%,SUPP,35%,57%,SUPP,1%,SUPP,SUPP,179,97%,21,90%,158,97%,181,96%,24,92%,157,97%
1,919,4066,117518,0,Barnwell School,FD,177,161,3,3,155,79,75,0,1,15,1,91%,2%,2%,88%,45%,42%,0%,1%,8%,1%,57,46,SUPP,SUPP,44,27,SUPP,0,SUPP,SUPP,SUPP,81%,SUPP,SUPP,77%,47%,SUPP,0%,SUPP,SUPP,SUPP,120,115,SUPP,SUPP,111,52,SUPP,0,SUPP,SUPP,SUPP,96%,SUPP,SUPP,93%,43%,SUPP,0%,SUPP,SUPP,SUPP,157,95%,44,93%,113,96%,180,95%,57,91%,123,97%
1,919,4099,137757,0,Bishop's Hatfield Girls' School,ACC,148,146,0,2,144,40,99,3,2,2,0,99%,0%,1%,97%,27%,67%,2%,1%,1%,0%,38,SUPP,0,0,SUPP,SUPP,21,0,0,SUPP,0,SUPP,0%,0%,SUPP,SUPP,55%,0%,0%,SUPP,0%,110,SUPP,0,2,SUPP,SUPP,78,3,2,SUPP,0,SUPP,0%,2%,SUPP,SUPP,71%,3%,2%,SUPP,0%,124,98%,16,SUPP,108,SUPP,116,98%,25,96%,91,99%
1,919,4116,117534,0,Marriotts School,CY,227,208,3,4,201,67,134,0,0,16,3,92%,1%,2%,89%,30%,59%,0%,0%,7%,1%,97,82,SUPP,SUPP,78,30,48,0,0,14,1,85%,SUPP,SUPP,80%,31%,49%,0%,0%,14%,1%,130,126,SUPP,SUPP,123,37,86,0,0,2,2,97%,SUPP,SUPP,95%,28%,66%,0%,0%,2%,2%,230,96%,79,94%,151,97%,128,91%,41,85%,87,93%
1,919,4802,136922,0,Yavneh College,ACC,148,147,0,0,147,17,129,0,1,1,0,99%,0%,0%,99%,11%,87%,0%,1%,1%,0%,5,SUPP,0,0,SUPP,SUPP,SUPP,0,SUPP,SUPP,0,SUPP,0%,0%,SUPP,SUPP,SUPP,0%,SUPP,SUPP,0%,143,SUPP,0,0,SUPP,16,125,0,SUPP,SUPP,0,SUPP,0%,0%,SUPP,11%,87%,0%,SUPP,SUPP,0%,148,97%,11,100%,137,97%,143,98%,13,100%,130,98%
1,919,4022,142051,0,Haileybury Turnford,AC,129,122,2,1,119,39,79,1,0,7,0,95%,2%,1%,92%,30%,61%,1%,0%,5%,0%,37,33,SUPP,SUPP,32,SUPP,19,SUPP,0,4,0,89%,SUPP,SUPP,86%,SUPP,51%,SUPP,0%,11%,0%,92,89,SUPP,SUPP,87,SUPP,60,SUPP,0,3,0,97%,SUPP,SUPP,95%,SUPP,65%,SUPP,0%,3%,0%,145,92%,40,78%,105,97%,151,97%,48,100%,103,95%
1,919,4005,117500,0,The Hemel Hempstead School,FD,184,181,4,4,173,60,112,0,1,1,2,98%,2%,2%,94%,33%,61%,0%,1%,1%,1%,21,20,0,1,19,SUPP,10,0,SUPP,SUPP,SUPP,95%,0%,5%,90%,SUPP,48%,0%,SUPP,SUPP,SUPP,163,161,4,3,154,SUPP,102,0,SUPP,SUPP,SUPP,99%,2%,2%,94%,SUPP,63%,0%,SUPP,SUPP,SUPP,178,95%,23,83%,155,97%,177,95%,27,96%,150,95%
1,919,4003,138582,0,Samuel Ryder Academy,AC,129,126,0,3,123,43,78,1,1,3,0,98%,0%,2%,95%,33%,60%,1%,1%,2%,0%,44,43,0,1,42,SUPP,22,SUPP,SUPP,1,0,98%,0%,2%,95%,SUPP,50%,SUPP,SUPP,2%,0%,85,83,0,2,81,SUPP,56,SUPP,SUPP,2,0,98%,0%,2%,95%,SUPP,66%,SUPP,SUPP,2%,0%,122,95%,30,90%,92,97%,69,94%,30,93%,39,95%
1,919,4043,138286,0,Beaumont School,ACC,188,187,3,0,184,31,152,1,0,0,1,99%,2%,0%,98%,16%,81%,1%,0%,0%,1%,15,SUPP,SUPP,0,13,SUPP,8,SUPP,0,0,SUPP,SUPP,SUPP,0%,87%,SUPP,53%,SUPP,0%,0%,SUPP,173,SUPP,SUPP,0,171,SUPP,144,SUPP,0,0,SUPP,SUPP,SUPP,0%,99%,SUPP,83%,SUPP,0%,0%,SUPP,181,98%,15,93%,166,99%,179,97%,16,88%,163,98%
2,919,7023,117680,0,Lakeside School,CYS,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,3,SUPP,0,SUPP,3,SUPP,2,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,5401,136276,0,Watford Grammar School for Boys,ACC,190,188,2,1,185,28,155,0,2,1,1,99%,1%,1%,97%,15%,82%,0%,1%,1%,1%,12,SUPP,0,SUPP,SUPP,SUPP,5,0,0,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,42%,0%,0%,SUPP,SUPP,178,SUPP,2,SUPP,SUPP,SUPP,150,0,2,SUPP,SUPP,SUPP,1%,SUPP,SUPP,SUPP,84%,0%,1%,SUPP,SUPP,190,96%,11,91%,179,96%,185,99%,19,95%,166,99%
1,919,4017,140037,0,The Thomas Alleyne Academy,AC,147,140,5,3,132,69,60,2,1,5,2,95%,3%,2%,90%,47%,41%,1%,1%,3%,1%,28,27,0,1,26,20,5,SUPP,SUPP,SUPP,SUPP,96%,0%,4%,93%,71%,18%,SUPP,SUPP,SUPP,SUPP,119,113,5,2,106,49,55,SUPP,SUPP,SUPP,SUPP,95%,4%,2%,89%,41%,46%,SUPP,SUPP,SUPP,SUPP,133,96%,35,97%,98,96%,153,96%,39,97%,114,96%
1,919,4024,143131,0,Robert Barclay Academy,AC,106,100,5,4,91,49,42,0,0,5,1,94%,5%,4%,86%,46%,40%,0%,0%,5%,1%,24,SUPP,SUPP,0,22,18,4,0,0,0,SUPP,SUPP,SUPP,0%,92%,75%,17%,0%,0%,0%,SUPP,82,SUPP,SUPP,4,69,31,38,0,0,5,SUPP,SUPP,SUPP,5%,84%,38%,46%,0%,0%,6%,SUPP,91,93%,20,95%,71,93%,103,94%,26,96%,77,94%
2,919,7004,141251,0,Pinewood School,ACCS,34,33,1,0,32,27,0,0,5,1,0,97%,3%,0%,94%,79%,0%,0%,15%,3%,0%,14,SUPP,SUPP,0,SUPP,11,0,0,SUPP,SUPP,0,SUPP,SUPP,0%,SUPP,79%,0%,0%,SUPP,SUPP,0%,20,SUPP,SUPP,0,SUPP,16,0,0,SUPP,SUPP,0,SUPP,SUPP,0%,SUPP,80%,0%,0%,SUPP,SUPP,0%,24,100%,9,100%,15,100%,33,94%,17,94%,16,94%
1,919,4141,137002,0,Freman College,ACC,201,195,4,7,184,64,111,8,1,6,0,97%,2%,3%,92%,32%,55%,4%,SP,3%,0%,24,20,0,1,19,12,6,SUPP,SUPP,4,0,83%,0%,4%,79%,50%,25%,SUPP,SUPP,17%,0%,177,175,4,6,165,52,105,SUPP,SUPP,2,0,99%,2%,3%,93%,29%,59%,SUPP,SUPP,1%,0%,229,98%,19,SUPP,210,SUPP,213,99%,23,100%,190,98%
2,919,7024,117681,0,Breakspeare School,CYS,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,6,83%,3,SUPP,3,SUPP,1,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,5404,136899,0,Parmiter's School,ACC,208,203,2,2,199,42,152,0,5,3,2,98%,1%,1%,96%,20%,73%,0%,2%,1%,1%,16,16,SUPP,SUPP,15,9,6,0,0,0,0,100%,SUPP,SUPP,94%,56%,38%,0%,0%,0%,0%,192,187,SUPP,SUPP,184,33,146,0,5,3,2,97%,SUPP,SUPP,96%,17%,76%,0%,3%,2%,1%,205,99%,15,100%,190,99%,207,99%,20,90%,187,100%
2,919,7033,117686,0,Falconer School,CYS,19,15,1,0,14,11,1,1,1,4,0,79%,5%,0%,74%,58%,5%,5%,5%,21%,0%,10,SUPP,SUPP,0,SUPP,5,SUPP,SUPP,SUPP,SUPP,0,SUPP,SUPP,0%,SUPP,50%,SUPP,SUPP,SUPP,SUPP,0%,9,SUPP,SUPP,0,SUPP,6,SUPP,SUPP,SUPP,SUPP,0,SUPP,SUPP,0%,SUPP,67%,SUPP,SUPP,SUPP,SUPP,0%,17,65%,14,SUPP,3,SUPP,14,64%,SUPP,SUPP,SUPP,SUPP
1,919,4620,138106,0,Loreto College,ACC,149,148,0,0,148,21,116,7,4,1,0,99%,0%,0%,99%,14%,78%,5%,3%,1%,0%,16,SUPP,0,0,SUPP,3,10,2,SUPP,SUPP,0,SUPP,0%,0%,SUPP,19%,63%,13%,SUPP,SUPP,0%,133,SUPP,0,0,SUPP,18,106,5,SUPP,SUPP,0,SUPP,0%,0%,SUPP,14%,80%,4%,SUPP,SUPP,0%,147,97%,14,93%,133,98%,147,99%,23,100%,124,98%
1,919,4111,140049,0,Westfield Academy,ACC,146,140,3,1,136,66,67,2,1,5,1,96%,2%,1%,93%,45%,46%,1%,1%,3%,1%,31,SUPP,0,SUPP,SUPP,20,9,SUPP,SUPP,0,SUPP,SUPP,0%,SUPP,SUPP,65%,29%,SUPP,SUPP,0%,SUPP,115,SUPP,3,SUPP,SUPP,46,58,SUPP,SUPP,5,SUPP,SUPP,3%,SUPP,SUPP,40%,50%,SUPP,SUPP,4%,SUPP,167,95%,43,95%,124,95%,139,96%,41,90%,98,98%
1,919,5403,136289,0,Watford Grammar School for Girls,ACC,181,179,0,2,177,9,165,1,2,1,1,99%,0%,1%,98%,5%,91%,1%,1%,1%,1%,20,19,0,SUPP,SUPP,3,14,SUPP,0,SUPP,SUPP,95%,0%,SUPP,SUPP,15%,70%,SUPP,0%,SUPP,SUPP,161,160,0,SUPP,SUPP,6,151,SUPP,2,SUPP,SUPP,99%,0%,SUPP,SUPP,4%,94%,SUPP,1%,SUPP,SUPP,179,99%,11,SUPP,168,SUPP,179,99%,12,100%,167,99%
1,919,4122,117537,0,The Highfield School,FD,169,157,3,9,145,67,76,2,0,10,2,93%,2%,5%,86%,40%,45%,1%,0%,6%,1%,45,39,1,1,37,SUPP,8,SUPP,0,6,0,87%,2%,2%,82%,SUPP,18%,SUPP,0%,13%,0%,124,118,2,8,108,SUPP,68,SUPP,0,4,2,95%,2%,6%,87%,SUPP,55%,SUPP,0%,3%,2%,169,95%,41,85%,128,98%,166,98%,59,95%,107,99%
1,919,4104,117530,0,The Nobel School,FD,234,226,3,3,220,90,127,2,1,7,1,97%,1%,1%,94%,38%,54%,1%,SP,3%,SP,54,49,SUPP,SUPP,47,28,17,SUPP,SUPP,SUPP,SUPP,91%,SUPP,SUPP,87%,52%,31%,SUPP,SUPP,SUPP,SUPP,180,177,SUPP,SUPP,173,62,110,SUPP,SUPP,SUPP,SUPP,98%,SUPP,SUPP,96%,34%,61%,SUPP,SUPP,SUPP,SUPP,232,95%,48,88%,184,97%,230,95%,37,86%,193,96%
1,919,5406,117578,0,Ashlyns School,FD,207,202,1,1,200,73,125,0,2,4,1,98%,SP,SP,97%,35%,60%,0%,1%,2%,SP,28,SUPP,SUPP,SUPP,SUPP,15,12,0,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,54%,43%,0%,SUPP,0%,SUPP,179,SUPP,SUPP,SUPP,SUPP,58,113,0,SUPP,4,SUPP,SUPP,SUPP,SUPP,SUPP,32%,63%,0%,SUPP,2%,SUPP,207,95%,25,76%,182,98%,203,97%,21,86%,182,98%
1,919,4197,136609,0,Sandringham School,ACC,211,206,2,0,204,25,178,1,0,3,2,98%,1%,0%,97%,12%,84%,SP,0%,1%,1%,24,22,0,0,22,SUPP,16,SUPP,0,SUPP,SUPP,92%,0%,0%,92%,SUPP,67%,SUPP,0%,SUPP,SUPP,187,184,2,0,182,SUPP,162,SUPP,0,SUPP,SUPP,98%,1%,0%,97%,SUPP,87%,SUPP,0%,SUPP,SUPP,181,99%,9,89%,172,99%,182,98%,25,96%,157,99%
1,919,4031,146305,0,Ridgeway Academy,AC,109,97,4,2,91,40,51,0,0,10,2,89%,4%,2%,83%,37%,47%,0%,0%,9%,2%,25,21,SUPP,SUPP,20,14,6,0,0,SUPP,SUPP,84%,SUPP,SUPP,80%,56%,24%,0%,0%,SUPP,SUPP,84,76,SUPP,SUPP,71,26,45,0,0,SUPP,SUPP,90%,SUPP,SUPP,85%,31%,54%,0%,0%,SUPP,SUPP,82,91%,30,87%,52,94%,NA,NA,NA,NA,NA,NA
1,919,4009,137288,0,Hitchin Girls' School,ACC,164,163,0,0,163,24,130,7,2,1,0,99%,0%,0%,99%,15%,79%,4%,1%,1%,0%,20,SUPP,0,0,SUPP,SUPP,12,0,0,SUPP,0,SUPP,0%,0%,SUPP,SUPP,60%,0%,0%,SUPP,0%,144,SUPP,0,0,SUPP,SUPP,118,7,2,SUPP,0,SUPP,0%,0%,SUPP,SUPP,82%,5%,1%,SUPP,0%,171,98%,23,96%,148,99%,163,98%,20,95%,143,99%
1,919,4014,137847,0,Stanborough School,ACC,174,166,1,1,164,90,72,1,1,8,0,95%,1%,1%,94%,52%,41%,1%,1%,5%,0%,36,32,SUPP,SUPP,SUPP,25,SUPP,SUPP,SUPP,4,0,89%,SUPP,SUPP,SUPP,69%,SUPP,SUPP,SUPP,11%,0%,138,134,SUPP,SUPP,SUPP,65,SUPP,SUPP,SUPP,4,0,97%,SUPP,SUPP,SUPP,47%,SUPP,SUPP,SUPP,3%,0%,172,96%,34,85%,138,99%,177,96%,43,93%,134,97%
1,919,5418,137914,0,Saint Joan of Arc Catholic School,ACC,219,212,1,4,207,70,120,16,1,2,5,97%,SP,2%,95%,32%,55%,7%,SP,1%,2%,19,19,SUPP,SUPP,18,9,8,SUPP,SUPP,0,0,100%,SUPP,SUPP,95%,47%,42%,SUPP,SUPP,0%,0%,200,193,SUPP,SUPP,189,61,112,SUPP,SUPP,2,5,97%,SUPP,SUPP,95%,31%,56%,SUPP,SUPP,1%,3%,207,97%,15,93%,192,97%,200,98%,24,100%,176,97%
