RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,TOT_COHORT,TOT_OVERALL,TOT_APPREN,TOT_EDUCATION,TOT_FE,TOT_HE,TOT_OTHER_EDU,TOT_EMPLOYMENT,TOT_NOT_SUSTAINED,TOT_NOT_CAPTURED,TOT_OVERALLPER,TOT_APPRENPER,TOT_EDUCATIONPER,TOT_FEPER,TOT_HEPER,TOT_OTHER_EDUPER,TOT_EMPLOYMENTPER,TOT_NOT_SUSTAINEDPER,TOT_NOT_CAPTUREDPER,TOT_COHORT_DIS,TOT_OVERALL_DIS,TOT_APPREN_DIS,TOT_EDUCATION_DIS,TOT_FE_DIS,TOT_HE_DIS,TOT_OTHER_EDU_DIS,TOT_EMPLOYMENT_DIS,TOT_NOT_SUSTAINED_DIS,TOT_NOT_CAPTURED_DIS,TOT_OVERALLPER_DIS,TOT_APPRENPER_DIS,TOT_EDUCATIONPER_DIS,TOT_FEPER_DIS,TOT_HEPER_DIS,TOT_OTHER_EDUPER_DIS,TOT_EMPLOYMENTPER_DIS,TOT_NOT_SUSTAINEDPER_DIS,TOT_NOT_CAPTUREDPER_DIS,TOT_COHORT_NONDIS,TOT_OVERALL_NONDIS,TOT_APPREN_NONDIS,TOT_EDUCATION_NONDIS,TOT_FE_NONDIS,TOT_HE_NONDIS,TOT_OTHER_EDU_NONDIS,TOT_EMPLOYMENT_NONDIS,TOT_NOT_SUSTAINED_NONDIS,TOT_NOT_CAPTURED_NONDIS,TOT_OVERALLPER_NONDIS,TOT_APPRENPER_NONDIS,TOT_EDUCATIONPER_NONDIS,TOT_FEPER_NONDIS,TOT_HEPER_NONDIS,TOT_OTHER_EDUPER_NONDIS,TOT_EMPLOYMENTPER_NONDIS,TOT_NOT_SUSTAINEDPER_NONDIS,TOT_NOT_CAPTUREDPER_NONDIS,L3_COHORT,L3_OVERALL,L3_APPREN,L3_EDUCATION,L3_FE,L3_HE,L3_OTHER_EDU,L3_EMPLOYMENT,L3_NOT_SUSTAINED,L3_NOT_CAPTURED,L3_OVERALLPER,L3_APPRENPER,L3_EDUCATIONPER,L3_FEPER,L3_HEPER,L3_OTHER_EDUPER,L3_EMPLOYMENTPER,L3_NOT_SUSTAINEDPER,L3_NOT_CAPTUREDPER,L3_COHORT_DIS,L3_OVERALL_DIS,L3_APPREN_DIS,L3_EDUCATION_DIS,L3_FE_DIS,L3_HE_DIS,L3_OTHER_EDU_DIS,L3_EMPLOYMENT_DIS,L3_NOT_SUSTAINED_DIS,L3_NOT_CAPTURED_DIS,L3_OVERALLPER_DIS,L3_APPRENPER_DIS,L3_EDUCATIONPER_DIS,L3_FEPER_DIS,L3_HEPER_DIS,L3_OTHER_EDUPER_DIS,L3_EMPLOYMENTPER_DIS,L3_NOT_SUSTAINEDPER_DIS,L3_NOT_CAPTUREDPER_DIS,L3_COHORT_NONDIS,L3_OVERALL_NONDIS,L3_APPREN_NONDIS,L3_EDUCATION_NONDIS,L3_FE_NONDIS,L3_HE_NONDIS,L3_OTHER_EDU_NONDIS,L3_EMPLOYMENT_NONDIS,L3_NOT_SUSTAINED_NONDIS,L3_NOT_CAPTURED_NONDIS,L3_OVERALLPER_NONDIS,L3_APPRENPER_NONDIS,L3_EDUCATIONPER_NONDIS,L3_FEPER_NONDIS,L3_HEPER_NONDIS,L3_OTHER_EDUPER_NONDIS,L3_EMPLOYMENTPER_NONDIS,L3_NOT_SUSTAINEDPER_NONDIS,L3_NOT_CAPTUREDPER_NONDIS,L2_COHORT,L2_OVERALL,L2_APPREN,L2_EDUCATION,L2_FE,L2_HE,L2_OTHER_EDU,L2_EMPLOYMENT,L2_NOT_SUSTAINED,L2_NOT_CAPTURED,L2_OVERALLPER,L2_APPRENPER,L2_EDUCATIONPER,L2_FEPER,L2_HEPER,L2_OTHER_EDUPER,L2_EMPLOYMENTPER,L2_NOT_SUSTAINEDPER,L2_NOT_CAPTUREDPER,L2_COHORT_DIS,L2_OVERALL_DIS,L2_APPREN_DIS,L2_EDUCATION_DIS,L2_FE_DIS,L2_HE_DIS,L2_OTHER_EDU_DIS,L2_EMPLOYMENT_DIS,L2_NOT_SUSTAINED_DIS,L2_NOT_CAPTURED_DIS,L2_OVERALLPER_DIS,L2_APPRENPER_DIS,L2_EDUCATIONPER_DIS,L2_FEPER_DIS,L2_HEPER_DIS,L2_OTHER_EDUPER_DIS,L2_EMPLOYMENTPER_DIS,L2_NOT_SUSTAINEDPER_DIS,L2_NOT_CAPTUREDPER_DIS,L2_COHORT_NONDIS,L2_OVERALL_NONDIS,L2_APPREN_NONDIS,L2_EDUCATION_NONDIS,L2_FE_NONDIS,L2_HE_NONDIS,L2_OTHER_EDU_NONDIS,L2_EMPLOYMENT_NONDIS,L2_NOT_SUSTAINED_NONDIS,L2_NOT_CAPTURED_NONDIS,L2_OVERALLPER_NONDIS,L2_APPRENPER_NONDIS,L2_EDUCATIONPER_NONDIS,L2_FEPER_NONDIS,L2_HEPER_NONDIS,L2_OTHER_EDUPER_NONDIS,L2_EMPLOYMENTPER_NONDIS,L2_NOT_SUSTAINEDPER_NONDIS,L2_NOT_CAPTUREDPER_NONDIS,LALLOTH_COHORT,LALLOTH_OVERALL,LALLOTH_APPREN,LALLOTH_EDUCATION,LALLOTH_FE,LALLOTH_HE,LALLOTH_OTHER_EDU,LALLOTH_EMPLOYMENT,LALLOTH_NOT_SUSTAINED,LALLOTH_NOT_CAPTURED,LALLOTH_OVERALLPER,LALLOTH_APPRENPER,LALLOTH_EDUCATIONPER,LALLOTH_FEPER,LALLOTH_HEPER,LALLOTH_OTHER_EDUPER,LALLOTH_EMPLOYMENTPER,LALLOTH_NOT_SUSTAINEDPER,LALLOTH_NOT_CAPTUREDPER,LALLOTH_COHORT_DIS,LALLOTH_OVERALL_DIS,LALLOTH_APPREN_DIS,LALLOTH_EDUCATION_DIS,LALLOTH_FE_DIS,LALLOTH_HE_DIS,LALLOTH_OTHER_EDU_DIS,LALLOTH_EMPLOYMENT_DIS,LALLOTH_NOT_SUSTAINED_DIS,LALLOTH_NOT_CAPTURED_DIS,LALLOTH_OVERALLPER_DIS,LALLOTH_APPRENPER_DIS,LALLOTH_EDUCATIONPER_DIS,LALLOTH_FEPER_DIS,LALLOTH_HEPER_DIS,LALLOTH_OTHER_EDUPER_DIS,LALLOTH_EMPLOYMENTPER_DIS,LALLOTH_NOT_SUSTAINEDPER_DIS,LALLOTH_NOT_CAPTUREDPER_DIS,LALLOTH_COHORT_NONDIS,LALLOTH_OVERALL_NONDIS,LALLOTH_APPREN_NONDIS,LALLOTH_EDUCATION_NONDIS,LALLOTH_FE_NONDIS,LALLOTH_HE_NONDIS,LALLOTH_OTHER_EDU_NONDIS,LALLOTH_EMPLOYMENT_NONDIS,LALLOTH_NOT_SUSTAINED_NONDIS,LALLOTH_NOT_CAPTURED_NONDIS,LALLOTH_OVERALLPER_NONDIS,LALLOTH_APPRENPER_NONDIS,LALLOTH_EDUCATIONPER_NONDIS,LALLOTH_FEPER_NONDIS,LALLOTH_HEPER_NONDIS,LALLOTH_OTHER_EDUPER_NONDIS,LALLOTH_EMPLOYMENTPER_NONDIS,LALLOTH_NOT_SUSTAINEDPER_NONDIS,LALLOTH_NOT_CAPTUREDPER_NONDIS
1,919,8021,130722,Hertford Regional College,General Further Education College,0,0,791,523,85,164,78,86,0,274,189,79,66%,11%,21%,10%,11%,0%,35%,24%,10%,261,150,20,58,30,28,0,72,85,26,57%,8%,22%,11%,11%,0%,28%,33%,10%,530,373,65,106,48,58,0,202,104,53,70%,12%,20%,9%,11%,0%,38%,20%,10%,373,280,21,109,24,85,0,150,67,26,75%,6%,29%,6%,23%,0%,40%,18%,7%,94,65,4,29,SUPP,SUPP,0,32,22,7,69%,4%,31%,SUPP,SUPP,0%,34%,23%,7%,279,215,17,80,SUPP,SUPP,0,118,45,19,77%,6%,29%,SUPP,SUPP,0%,42%,16%,7%,304,186,52,37,37,0,0,97,87,31,61%,17%,12%,12%,0%,0%,32%,29%,10%,127,65,SUPP,SUPP,SUPP,0,0,31,50,12,51%,SUPP,SUPP,SUPP,0%,0%,24%,39%,9%,177,121,SUPP,SUPP,SUPP,0,0,66,37,19,68%,SUPP,SUPP,SUPP,0%,0%,37%,21%,11%,114,57,12,18,17,1,0,27,35,22,50%,11%,16%,15%,1%,0%,24%,31%,19%,40,20,SUPP,SUPP,SUPP,SUPP,0,9,13,7,50%,SUPP,SUPP,SUPP,SUPP,0%,23%,33%,18%,74,37,SUPP,SUPP,SUPP,SUPP,0,18,22,15,50%,SUPP,SUPP,SUPP,SUPP,0%,24%,30%,20%
1,919,8022,130723,Oaklands College,General Further Education College,0,0,1312,910,112,307,111,191,5,491,297,105,69%,9%,23%,8%,15%,SP,37%,23%,8%,359,205,27,69,SUPP,42,SUPP,109,122,32,57%,8%,19%,SUPP,12%,SUPP,30%,34%,9%,953,705,85,238,SUPP,149,SUPP,382,175,73,74%,9%,25%,SUPP,16%,SUPP,40%,18%,8%,692,544,48,226,42,183,1,270,104,44,79%,7%,33%,6%,26%,SP,39%,15%,6%,156,105,7,51,SUPP,40,SUPP,47,41,10,67%,4%,33%,SUPP,26%,SUPP,30%,26%,6%,536,439,41,175,SUPP,143,SUPP,223,63,34,82%,8%,33%,SUPP,27%,SUPP,42%,12%,6%,366,237,42,37,34,1,2,158,95,34,65%,11%,10%,9%,SP,1%,43%,26%,9%,117,62,13,6,SUPP,SUPP,0,43,39,16,53%,11%,5%,SUPP,SUPP,0%,37%,33%,14%,249,175,29,31,SUPP,SUPP,2,115,56,18,70%,12%,12%,SUPP,SUPP,1%,46%,22%,7%,254,129,22,44,35,7,2,63,98,27,51%,9%,17%,14%,3%,1%,25%,39%,11%,86,38,7,12,10,SUPP,SUPP,19,42,6,44%,8%,14%,12%,SUPP,SUPP,22%,49%,7%,168,91,15,32,25,SUPP,SUPP,44,56,21,54%,9%,19%,15%,SUPP,SUPP,26%,33%,13%
1,919,6905,135876,Future Academies Watford,AC,0,0,55,48,3,35,3,32,0,10,6,1,87%,5%,64%,5%,58%,0%,18%,11%,2%,12,SUPP,SUPP,SUPP,SUPP,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,43,SUPP,SUPP,SUPP,SUPP,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,53,48,3,35,3,32,0,10,5,0,91%,6%,66%,6%,60%,0%,19%,9%,0%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,919,8019,130720,West Herts College,General Further Education College,0,0,2636,1848,162,674,276,395,3,1012,561,227,70%,6%,26%,10%,15%,SP,38%,21%,9%,713,438,34,139,65,74,0,265,219,56,61%,5%,19%,9%,10%,0%,37%,31%,8%,1923,1410,128,535,211,321,3,747,342,171,73%,7%,28%,11%,17%,SP,39%,18%,9%,1384,1117,61,457,66,388,3,599,191,76,81%,4%,33%,5%,28%,SP,43%,14%,5%,297,222,8,89,16,73,0,125,63,12,75%,3%,30%,5%,25%,0%,42%,21%,4%,1087,895,53,368,50,315,3,474,128,64,82%,5%,34%,5%,29%,SP,44%,12%,6%,793,506,62,145,144,1,0,299,209,78,64%,8%,18%,18%,SP,0%,38%,26%,10%,274,154,16,38,SUPP,SUPP,0,100,98,22,56%,6%,14%,SUPP,SUPP,0%,36%,36%,8%,519,352,46,107,SUPP,SUPP,0,199,111,56,68%,9%,21%,SUPP,SUPP,0%,38%,21%,11%,459,225,39,72,66,6,0,114,161,73,49%,8%,16%,14%,1%,0%,25%,35%,16%,142,62,10,12,SUPP,SUPP,0,40,58,22,44%,7%,8%,SUPP,SUPP,0%,28%,41%,15%,317,163,29,60,SUPP,SUPP,0,74,103,51,51%,9%,19%,SUPP,SUPP,0%,23%,32%,16%
1,919,8020,130721,North Hertfordshire College,General Further Education College,0,0,918,661,92,163,85,77,1,406,194,63,72%,10%,18%,9%,8%,SP,44%,21%,7%,281,183,19,46,29,SUPP,SUPP,118,76,22,65%,7%,16%,10%,SUPP,SUPP,42%,27%,8%,637,478,73,117,56,SUPP,SUPP,288,118,41,75%,11%,18%,9%,SUPP,SUPP,45%,19%,6%,314,269,16,89,14,75,0,164,34,11,86%,5%,28%,4%,24%,0%,52%,11%,4%,73,62,2,22,SUPP,SUPP,0,38,9,2,85%,3%,30%,SUPP,SUPP,0%,52%,12%,3%,241,207,14,67,SUPP,SUPP,0,126,25,9,86%,6%,28%,SUPP,SUPP,0%,52%,10%,4%,322,222,39,28,27,1,0,155,72,28,69%,12%,9%,8%,SP,0%,48%,22%,9%,111,69,6,11,SUPP,SUPP,0,52,27,15,62%,5%,10%,SUPP,SUPP,0%,47%,24%,14%,211,153,33,17,SUPP,SUPP,0,103,45,13,73%,16%,8%,SUPP,SUPP,0%,49%,21%,6%,282,170,37,46,44,1,1,87,88,24,60%,13%,16%,16%,SP,SP,31%,31%,9%,97,52,11,13,SUPP,SUPP,SUPP,28,40,5,54%,11%,13%,SUPP,SUPP,SUPP,29%,41%,5%,185,118,26,33,SUPP,SUPP,SUPP,59,48,19,64%,14%,18%,SUPP,SUPP,SUPP,32%,26%,10%
1,919,4032,145430,The Adeyfield Academy,AC,0,0,24,22,3,14,2,12,0,5,1,1,92%,13%,58%,8%,50%,0%,21%,4%,4%,3,SUPP,SUPP,SUPP,SUPP,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,21,SUPP,3,12,2,10,0,SUPP,SUPP,SUPP,SUPP,14%,57%,10%,48%,0%,SUPP,SUPP,SUPP,24,22,3,14,2,12,0,5,1,1,92%,13%,58%,8%,50%,0%,21%,4%,4%,3,SUPP,SUPP,SUPP,SUPP,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,21,SUPP,3,12,2,10,0,SUPP,SUPP,SUPP,SUPP,14%,57%,10%,48%,0%,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,919,4033,146440,Laureate Academy,AC,0,0,14,11,0,9,0,9,0,2,2,1,79%,0%,64%,0%,64%,0%,14%,14%,7%,2,SUPP,0,SUPP,0,SUPP,0,SUPP,SUPP,SUPP,SUPP,0%,SUPP,0%,SUPP,0%,SUPP,SUPP,SUPP,12,SUPP,0,SUPP,0,SUPP,0,2,2,SUPP,SUPP,0%,SUPP,0%,SUPP,0%,17%,17%,SUPP,14,11,0,9,0,9,0,2,2,1,79%,0%,64%,0%,64%,0%,14%,14%,7%,2,SUPP,0,SUPP,0,SUPP,0,SUPP,SUPP,SUPP,SUPP,0%,SUPP,0%,SUPP,0%,SUPP,SUPP,SUPP,12,SUPP,0,SUPP,0,SUPP,0,2,2,SUPP,SUPP,0%,SUPP,0%,SUPP,0%,17%,17%,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,919,4022,142051,Haileybury Turnford,AC,0,0,72,56,7,26,4,22,0,23,10,6,78%,10%,36%,6%,31%,0%,32%,14%,8%,14,10,2,6,1,5,0,2,3,1,71%,14%,43%,7%,36%,0%,14%,21%,7%,58,46,5,20,3,17,0,21,7,5,79%,9%,34%,5%,29%,0%,36%,12%,9%,69,54,6,26,4,22,0,22,9,6,78%,9%,38%,6%,32%,0%,32%,13%,9%,13,SUPP,SUPP,6,1,5,0,SUPP,SUPP,1,SUPP,SUPP,46%,8%,38%,0%,SUPP,SUPP,8%,56,SUPP,SUPP,20,3,17,0,SUPP,SUPP,5,SUPP,SUPP,36%,5%,30%,0%,SUPP,SUPP,9%,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,919,4024,143131,Robert Barclay Academy,AC,0,0,29,26,4,8,1,7,0,14,3,0,90%,14%,28%,3%,24%,0%,48%,10%,0%,4,SUPP,SUPP,SUPP,SUPP,SUPP,0,SUPP,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,0%,25,22,4,6,SUPP,SUPP,0,12,3,0,88%,16%,24%,SUPP,SUPP,0%,48%,12%,0%,29,26,4,8,1,7,0,14,3,0,90%,14%,28%,3%,24%,0%,48%,10%,0%,4,SUPP,SUPP,SUPP,SUPP,SUPP,0,SUPP,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,0%,25,22,4,6,SUPP,SUPP,0,12,3,0,88%,16%,24%,SUPP,SUPP,0%,48%,12%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,919,4026,144623,Barclay Academy,AC,0,0,29,24,3,13,4,9,0,8,4,1,83%,10%,45%,14%,31%,0%,28%,14%,3%,1,SUPP,SUPP,SUPP,SUPP,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,28,SUPP,3,SUPP,4,SUPP,0,8,4,SUPP,SUPP,11%,SUPP,14%,SUPP,0%,29%,14%,SUPP,29,24,3,13,4,9,0,8,4,1,83%,10%,45%,14%,31%,0%,28%,14%,3%,1,SUPP,SUPP,SUPP,SUPP,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,28,SUPP,3,SUPP,4,SUPP,0,8,4,SUPP,SUPP,11%,SUPP,14%,SUPP,0%,29%,14%,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
