RECTYPE,LEA,ESTAB,URN,ICLOSE,SCHNAME,NFTYPE,COHORT,OVERALL_DEST,APPREN,EMPLOYMENT,EDUCATION,FE,SCH_6TH,SIXTH_COL,OTHER_EDU,NOT_SUSTAINED,UNKNOWN,OVERALL_DESTPER,APPRENPER,EMPLOYMENTPER,EDUCATIONPER,FEPER,SCH_6THPER,SIXTH_COLPER,OTHER_EDUPER,NOT_SUSTAINEDPER,UNKNOWNPER,COHORT_DIS,OVERALL_DEST_DIS,APPREN_DIS,EMPLOYMENT_DIS,EDUCATION_DIS,FE_DIS,SCH_6TH_DIS,SIXTH_COL_DIS,OTHER_EDU_DIS,NOT_SUSTAINED_DIS,UNKNOWN_DIS,OVERALL_DESTPER_DIS,APPRENPER_DIS,EMPLOYMENTPER_DIS,EDUCATIONPER_DIS,FEPER_DIS,SCH_6THPER_DIS,SIXTH_COLPER_DIS,OTHER_EDUPER_DIS,NOT_SUSTAINEDPER_DIS,UNKNOWNPER_DIS,COHORT_NONDIS,OVERALL_DEST_NONDIS,APPREN_NONDIS,EMPLOYMENT_NONDIS,EDUCATION_NONDIS,FE_NONDIS,SCH_6TH_NONDIS,SIXTH_COL_NONDIS,OTHER_EDU_NONDIS,NOT_SUSTAINED_NONDIS,UNKNOWN_NONDIS,OVERALL_DESTPER_NONDIS,APPRENPER_NONDIS,EMPLOYMENTPER_NONDIS,EDUCATIONPER_NONDIS,FEPER_NONDIS,SCH_6THPER_NONDIS,SIXTH_COLPER_NONDIS,OTHER_EDUPER_NONDIS,NOT_SUSTAINEDPER_NONDIS,UNKNOWNPER_NONDIS,COHORT_22,OVERALL_DESTPER_22,COHORT_DIS_22,OVERALL_DESTPER_DIS_22,COHORT_NONDIS_22,OVERALL_DESTPER_NONDIS_22,COHORT_21,OVERALL_DESTPER_21,COHORT_DIS_21,OVERALL_DESTPER_DIS_21,COHORT_NONDIS_21,OVERALL_DESTPER_NONDIS_21
2,919,7003,147679,0,Brandles School,ACS,12,11,0,1,10,10,0,0,0,1,0,92%,0%,8%,83%,83%,0%,0%,0%,8%,0%,8,SUPP,0,SUPP,SUPP,SUPP,0,0,0,SUPP,0,SUPP,0%,SUPP,SUPP,SUPP,0%,0%,0%,SUPP,0%,4,SUPP,0,SUPP,SUPP,SUPP,0,0,0,SUPP,0,SUPP,0%,SUPP,SUPP,SUPP,0%,0%,0%,SUPP,0%,13,77%,7,71%,6,83%,11,64%,9,SUPP,2,SUPP
1,919,5413,137895,0,The Saint John Henry Newman Catholic School,ACC,245,239,6,3,230,33,179,15,3,4,2,98%,2%,1%,94%,13%,73%,6%,1%,2%,1%,10,10,0,0,10,2,7,0,1,0,0,100%,0%,0%,100%,20%,70%,0%,10%,0%,0%,235,229,6,3,220,31,172,15,2,4,2,97%,3%,1%,94%,13%,73%,6%,1%,2%,1%,242,97%,20,85%,222,98%,238,99%,19,SUPP,219,SUPP
1,919,5418,137914,0,Saint Joan of Arc Catholic School,ACC,204,202,2,3,197,75,101,20,1,0,2,99%,1%,1%,97%,37%,50%,10%,SP,0%,1%,11,11,0,1,10,SUPP,5,0,SUPP,0,0,100%,0%,9%,91%,SUPP,45%,0%,SUPP,0%,0%,193,191,2,2,187,SUPP,96,20,SUPP,0,2,99%,1%,1%,97%,SUPP,50%,10%,SUPP,0%,1%,197,95%,16,94%,181,96%,207,96%,19,95%,188,96%
1,919,5422,148499,0,St Mary's Catholic School,ACC,183,177,1,2,174,44,120,6,4,3,3,97%,1%,1%,95%,24%,66%,3%,2%,2%,2%,16,14,SUPP,0,SUPP,SUPP,8,0,0,SUPP,SUPP,88%,SUPP,0%,SUPP,SUPP,50%,0%,0%,SUPP,SUPP,167,163,SUPP,2,SUPP,SUPP,112,6,4,SUPP,SUPP,98%,SUPP,1%,SUPP,SUPP,67%,4%,2%,SUPP,SUPP,183,99%,15,100%,168,99%,157,99%,9,SUPP,148,SUPP
2,919,7014,142257,0,Hailey Hall School,ACCS,13,10,0,0,10,9,1,0,0,2,1,77%,0%,0%,77%,69%,8%,0%,0%,15%,8%,8,6,0,0,6,SUPP,SUPP,0,0,SUPP,SUPP,75%,0%,0%,75%,SUPP,SUPP,0%,0%,SUPP,SUPP,5,SUPP,0,0,SUPP,SUPP,SUPP,0,0,SUPP,SUPP,SUPP,0%,0%,SUPP,SUPP,SUPP,0%,0%,SUPP,SUPP,13,85%,7,SUPP,6,SUPP,14,93%,8,SUPP,6,SUPP
2,919,7016,117674,0,Batchwood School,CYS,17,8,0,0,8,7,0,0,1,8,1,47%,0%,0%,47%,41%,0%,0%,6%,47%,6%,13,SUPP,0,0,SUPP,SUPP,0,0,SUPP,5,SUPP,SUPP,0%,0%,SUPP,SUPP,0%,0%,SUPP,38%,SUPP,4,SUPP,0,0,SUPP,SUPP,0,0,SUPP,SUPP,SUPP,SUPP,0%,0%,SUPP,SUPP,0%,0%,SUPP,SUPP,SUPP,16,75%,9,78%,7,71%,20,80%,9,67%,11,91%
1,919,4004,139416,0,Elstree Screen Arts Academy,UTC,86,81,1,3,77,40,33,3,1,5,0,94%,1%,3%,90%,47%,38%,3%,1%,6%,0%,23,SUPP,SUPP,SUPP,17,11,5,SUPP,SUPP,SUPP,0,SUPP,SUPP,SUPP,74%,48%,22%,SUPP,SUPP,SUPP,0%,63,SUPP,SUPP,SUPP,60,29,28,SUPP,SUPP,SUPP,0,SUPP,SUPP,SUPP,95%,46%,44%,SUPP,SUPP,SUPP,0%,96,91%,26,81%,70,94%,88,85%,31,81%,57,88%
1,919,4006,139873,0,Richard Hale School,ACC,175,173,10,1,162,37,121,0,4,1,1,99%,6%,1%,93%,21%,69%,0%,2%,1%,1%,15,SUPP,SUPP,SUPP,14,8,5,0,1,SUPP,SUPP,SUPP,SUPP,SUPP,93%,53%,33%,0%,7%,SUPP,SUPP,160,SUPP,SUPP,SUPP,148,29,116,0,3,SUPP,SUPP,SUPP,SUPP,SUPP,93%,18%,73%,0%,2%,SUPP,SUPP,178,97%,16,88%,162,98%,178,98%,16,81%,162,99%
1,919,4011,137038,0,Verulam School,ACC,183,173,3,5,165,30,133,0,2,6,4,95%,2%,3%,90%,16%,73%,0%,1%,3%,2%,22,17,SUPP,SUPP,14,9,5,0,0,4,1,77%,SUPP,SUPP,64%,41%,23%,0%,0%,18%,5%,161,156,SUPP,SUPP,151,21,128,0,2,2,3,97%,SUPP,SUPP,94%,13%,80%,0%,1%,1%,2%,184,96%,28,89%,156,97%,174,97%,14,93%,160,98%
2,919,7013,117672,0,The Collett School,CYS,15,15,0,0,15,14,0,0,1,0,0,100%,0%,0%,100%,93%,0%,0%,7%,0%,0%,8,8,0,0,8,SUPP,0,0,SUPP,0,0,100%,0%,0%,100%,SUPP,0%,0%,SUPP,0%,0%,7,7,0,0,7,SUPP,0,0,SUPP,0,0,100%,0%,0%,100%,SUPP,0%,0%,SUPP,0%,0%,13,85%,6,SUPP,7,SUPP,16,94%,7,SUPP,9,SUPP
2,919,7042,117690,0,Greenside School,CYS,5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,8,100%,2,SUPP,6,100%,9,100%,2,SUPP,7,100%
1,919,4614,138356,0,St George's School,ACC,215,212,1,3,208,22,181,3,2,1,2,99%,SP,1%,97%,10%,84%,1%,1%,SP,1%,14,SUPP,SUPP,0,SUPP,SUPP,8,0,0,SUPP,0,SUPP,SUPP,0%,SUPP,SUPP,57%,0%,0%,SUPP,0%,201,SUPP,SUPP,3,SUPP,SUPP,173,3,2,SUPP,2,SUPP,SUPP,1%,SUPP,SUPP,86%,1%,1%,SUPP,1%,193,98%,14,SUPP,179,SUPP,183,99%,7,100%,176,99%
1,919,5401,136276,0,Watford Grammar School for Boys,ACC,227,224,2,1,221,23,190,7,1,2,1,99%,1%,SP,97%,10%,84%,3%,SP,1%,SP,14,13,SUPP,SUPP,12,SUPP,6,0,SUPP,SUPP,SUPP,93%,SUPP,SUPP,86%,SUPP,43%,0%,SUPP,SUPP,SUPP,213,211,SUPP,SUPP,209,SUPP,184,7,SUPP,SUPP,SUPP,99%,SUPP,SUPP,98%,SUPP,86%,3%,SUPP,SUPP,SUPP,189,99%,22,SUPP,167,SUPP,189,99%,12,92%,177,99%
1,919,5406,117578,0,Ashlyns School,FD,234,226,1,4,221,86,132,0,3,4,4,97%,SP,2%,94%,37%,56%,0%,1%,2%,2%,31,26,SUPP,SUPP,25,18,7,0,0,SUPP,SUPP,84%,SUPP,SUPP,81%,58%,23%,0%,0%,SUPP,SUPP,203,200,SUPP,SUPP,196,68,125,0,3,SUPP,SUPP,99%,SUPP,SUPP,97%,33%,62%,0%,1%,SUPP,SUPP,236,98%,26,92%,210,99%,198,98%,19,SUPP,179,SUPP
1,919,5408,137872,0,Bushey Meads School,ACC,187,178,1,0,177,46,102,26,3,2,7,95%,1%,0%,95%,25%,55%,14%,2%,1%,4%,26,25,SUPP,0,SUPP,SUPP,13,0,0,0,1,96%,SUPP,0%,SUPP,SUPP,50%,0%,0%,0%,4%,161,153,SUPP,0,SUPP,SUPP,89,26,3,2,6,95%,SUPP,0%,SUPP,SUPP,55%,16%,2%,1%,4%,180,95%,33,88%,147,97%,190,96%,24,83%,166,98%
1,919,5410,136877,0,Queens' School,ACC,264,258,3,3,252,91,154,5,2,4,2,98%,1%,1%,95%,34%,58%,2%,1%,2%,1%,27,26,SUPP,SUPP,24,17,7,0,0,SUPP,SUPP,96%,SUPP,SUPP,89%,63%,26%,0%,0%,SUPP,SUPP,237,232,SUPP,SUPP,228,74,147,5,2,SUPP,SUPP,98%,SUPP,SUPP,96%,31%,62%,2%,1%,SUPP,SUPP,258,97%,34,97%,224,97%,266,97%,21,90%,245,97%
1,919,4499,117552,0,The Astley Cooper School,CY,135,118,4,4,110,51,56,1,2,10,7,87%,3%,3%,81%,38%,41%,1%,1%,7%,5%,47,38,1,2,35,18,16,SUPP,SUPP,6,3,81%,2%,4%,74%,38%,34%,SUPP,SUPP,13%,6%,88,80,3,2,75,33,40,SUPP,SUPP,4,4,91%,3%,2%,85%,38%,45%,SUPP,SUPP,5%,5%,142,93%,49,90%,93,95%,102,92%,57,91%,45,93%
1,919,4111,140049,0,Westfield Academy,ACC,160,147,2,5,140,58,80,1,1,9,4,92%,1%,3%,88%,36%,50%,1%,1%,6%,3%,39,33,0,0,33,15,17,SUPP,SUPP,4,2,85%,0%,0%,85%,38%,44%,SUPP,SUPP,10%,5%,121,114,2,5,107,43,63,SUPP,SUPP,5,2,94%,2%,4%,88%,36%,52%,SUPP,SUPP,4%,2%,161,94%,46,91%,115,95%,175,90%,43,84%,132,92%
1,919,4116,117534,0,Marriotts School,CY,233,213,5,9,199,90,108,0,1,15,5,91%,2%,4%,85%,39%,46%,0%,SP,6%,2%,73,60,1,1,58,SUPP,21,0,SUPP,11,2,82%,1%,1%,79%,SUPP,29%,0%,SUPP,15%,3%,160,153,4,8,141,SUPP,87,0,SUPP,4,3,96%,3%,5%,88%,SUPP,54%,0%,SUPP,3%,2%,233,91%,74,81%,159,96%,228,96%,56,93%,172,97%
1,919,5411,137224,0,Mount Grace School,ACC,69,60,2,2,56,29,25,1,1,6,3,87%,3%,3%,81%,42%,36%,1%,1%,9%,4%,23,17,SUPP,SUPP,16,10,SUPP,SUPP,SUPP,SUPP,SUPP,74%,SUPP,SUPP,70%,43%,SUPP,SUPP,SUPP,SUPP,SUPP,46,43,SUPP,SUPP,40,19,SUPP,SUPP,SUPP,SUPP,SUPP,93%,SUPP,SUPP,87%,41%,SUPP,SUPP,SUPP,SUPP,SUPP,94,89%,21,95%,73,88%,108,91%,28,79%,80,95%
1,919,4003,138582,0,Samuel Ryder Academy,AC,160,151,3,1,147,52,93,0,2,5,4,94%,2%,1%,92%,33%,58%,0%,1%,3%,3%,29,26,SUPP,SUPP,25,17,8,0,0,2,1,90%,SUPP,SUPP,86%,59%,28%,0%,0%,7%,3%,131,125,SUPP,SUPP,122,35,85,0,2,3,3,95%,SUPP,SUPP,93%,27%,65%,0%,2%,2%,2%,166,95%,37,78%,129,99%,149,93%,33,88%,116,95%
1,919,4010,117504,0,Fearnhill School,FD,77,72,2,3,67,38,27,2,0,3,2,94%,3%,4%,87%,49%,35%,3%,0%,4%,3%,21,18,SUPP,SUPP,15,9,6,0,0,SUPP,SUPP,86%,SUPP,SUPP,71%,43%,29%,0%,0%,SUPP,SUPP,56,54,SUPP,SUPP,52,29,21,2,0,SUPP,SUPP,96%,SUPP,SUPP,93%,52%,38%,4%,0%,SUPP,SUPP,71,89%,22,82%,49,92%,81,98%,32,SUPP,49,SUPP
1,919,5403,136289,0,Watford Grammar School for Girls,ACC,208,201,1,0,200,17,178,1,4,2,5,97%,SP,0%,96%,8%,86%,SP,2%,1%,2%,16,13,SUPP,0,SUPP,SUPP,10,SUPP,0,SUPP,SUPP,81%,SUPP,0%,SUPP,SUPP,63%,SUPP,0%,SUPP,SUPP,192,188,SUPP,0,SUPP,SUPP,168,SUPP,4,SUPP,SUPP,98%,SUPP,0%,SUPP,SUPP,88%,SUPP,2%,SUPP,SUPP,184,98%,10,100%,174,98%,179,98%,11,91%,168,99%
1,919,4620,138106,0,Loreto College,ACC,156,152,0,2,150,19,120,8,3,2,2,97%,0%,1%,96%,12%,77%,5%,2%,1%,1%,17,15,0,0,15,3,11,1,0,SUPP,SUPP,88%,0%,0%,88%,18%,65%,6%,0%,SUPP,SUPP,139,137,0,2,135,16,109,7,3,SUPP,SUPP,99%,0%,1%,97%,12%,78%,5%,2%,SUPP,SUPP,160,98%,12,SUPP,148,SUPP,156,96%,17,82%,139,98%
1,919,5400,136606,0,Rickmansworth School,ACC,221,215,0,0,215,40,174,0,1,4,2,97%,0%,0%,97%,18%,79%,0%,SP,2%,1%,15,13,0,0,13,SUPP,7,0,SUPP,2,0,87%,0%,0%,87%,SUPP,47%,0%,SUPP,13%,0%,206,202,0,0,202,SUPP,167,0,SUPP,2,2,98%,0%,0%,98%,SUPP,81%,0%,SUPP,1%,1%,195,97%,19,89%,176,98%,219,98%,14,100%,205,98%
2,919,7032,117685,0,Heathlands School,CYS,6,4,0,0,4,3,0,0,1,1,1,67%,0%,0%,67%,50%,0%,0%,17%,17%,17%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,14,93%,7,SUPP,7,SUPP,10,100%,5,SUPP,5,SUPP
2,919,7004,141251,0,Pinewood School,ACCS,35,34,0,0,34,33,0,0,1,1,0,97%,0%,0%,97%,94%,0%,0%,3%,3%,0%,17,SUPP,0,0,SUPP,17,0,0,SUPP,SUPP,0,SUPP,0%,0%,SUPP,100%,0%,0%,SUPP,SUPP,0%,18,SUPP,0,0,SUPP,16,0,0,SUPP,SUPP,0,SUPP,0%,0%,SUPP,89%,0%,0%,SUPP,SUPP,0%,28,86%,10,70%,18,94%,35,97%,15,SUPP,20,SUPP
2,919,7006,117665,0,St Elizabeth's School,NMSS,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,6,100%,SUPP,SUPP,SUPP,SUPP,7,100%,SUPP,SUPP,SUPP,SUPP
2,919,7008,117667,0,Garston Manor School,CYS,27,26,0,0,26,25,0,0,1,1,0,96%,0%,0%,96%,93%,0%,0%,4%,4%,0%,6,SUPP,0,0,SUPP,4,0,0,SUPP,SUPP,0,SUPP,0%,0%,SUPP,67%,0%,0%,SUPP,SUPP,0%,21,SUPP,0,0,SUPP,21,0,0,SUPP,SUPP,0,SUPP,0%,0%,SUPP,100%,0%,0%,SUPP,SUPP,0%,36,94%,17,94%,19,95%,29,93%,10,SUPP,19,SUPP
2,919,7010,117669,0,The Valley School,CYS,33,30,0,0,30,27,0,0,3,1,2,91%,0%,0%,91%,82%,0%,0%,9%,3%,6%,14,13,0,0,13,SUPP,0,0,SUPP,SUPP,SUPP,93%,0%,0%,93%,SUPP,0%,0%,SUPP,SUPP,SUPP,19,17,0,0,17,SUPP,0,0,SUPP,SUPP,SUPP,89%,0%,0%,89%,SUPP,0%,0%,SUPP,SUPP,SUPP,33,88%,20,SUPP,13,SUPP,29,90%,15,SUPP,14,SUPP
1,919,5404,136899,0,Parmiter's School,ACC,206,201,1,2,198,45,152,1,0,3,2,98%,SP,1%,96%,22%,74%,SP,0%,1%,1%,13,10,SUPP,0,SUPP,SUPP,6,SUPP,0,SUPP,SUPP,77%,SUPP,0%,SUPP,SUPP,46%,SUPP,0%,SUPP,SUPP,193,191,SUPP,2,SUPP,SUPP,146,SUPP,0,SUPP,SUPP,99%,SUPP,1%,SUPP,SUPP,76%,SUPP,0%,SUPP,SUPP,209,98%,18,83%,191,99%,207,98%,10,90%,197,98%
1,919,5421,136901,0,St Clement Danes School,ACC,238,233,0,1,232,44,184,3,1,3,2,98%,0%,SP,97%,18%,77%,1%,SP,1%,1%,17,14,0,SUPP,SUPP,SUPP,9,0,SUPP,SUPP,SUPP,82%,0%,SUPP,SUPP,SUPP,53%,0%,SUPP,SUPP,SUPP,221,219,0,SUPP,SUPP,SUPP,175,3,SUPP,SUPP,SUPP,99%,0%,SUPP,SUPP,SUPP,79%,1%,SUPP,SUPP,SUPP,240,99%,13,92%,227,99%,236,97%,15,100%,221,97%
1,919,4197,136609,0,Sandringham School,ACC,240,232,2,0,230,49,180,0,1,6,2,97%,1%,0%,96%,20%,75%,0%,SP,3%,1%,22,19,0,0,19,SUPP,8,0,SUPP,SUPP,SUPP,86%,0%,0%,86%,SUPP,36%,0%,SUPP,SUPP,SUPP,218,213,2,0,211,SUPP,172,0,SUPP,SUPP,SUPP,98%,1%,0%,97%,SUPP,79%,0%,SUPP,SUPP,SUPP,235,97%,27,93%,208,98%,209,99%,24,100%,185,99%
1,919,5423,138360,0,St Mary's Church of England High School (VA),ACC,180,164,0,3,161,76,78,6,1,12,4,91%,0%,2%,89%,42%,43%,3%,1%,7%,2%,47,40,0,1,39,25,12,SUPP,SUPP,SUPP,SUPP,85%,0%,2%,83%,53%,26%,SUPP,SUPP,SUPP,SUPP,133,124,0,2,122,51,66,SUPP,SUPP,SUPP,SUPP,93%,0%,2%,92%,38%,50%,SUPP,SUPP,SUPP,SUPP,208,96%,48,90%,160,98%,236,92%,67,87%,169,95%
1,919,4014,137847,0,Stanborough School,ACC,193,184,4,7,173,79,93,1,0,6,3,95%,2%,4%,90%,41%,48%,1%,0%,3%,2%,35,29,0,2,27,SUPP,6,SUPP,0,SUPP,SUPP,83%,0%,6%,77%,SUPP,17%,SUPP,0%,SUPP,SUPP,158,155,4,5,146,SUPP,87,SUPP,0,SUPP,SUPP,98%,3%,3%,92%,SUPP,55%,SUPP,0%,SUPP,SUPP,182,93%,41,80%,141,96%,174,97%,31,90%,143,99%
1,919,4031,146305,0,Ridgeway Academy,AC,145,138,3,9,126,63,62,1,0,6,1,95%,2%,6%,87%,43%,43%,1%,0%,4%,1%,39,36,0,4,32,22,SUPP,SUPP,0,SUPP,SUPP,92%,0%,10%,82%,56%,SUPP,SUPP,0%,SUPP,SUPP,106,102,3,5,94,41,SUPP,SUPP,0,SUPP,SUPP,96%,3%,5%,89%,39%,SUPP,SUPP,0%,SUPP,SUPP,140,86%,46,78%,94,90%,116,89%,47,79%,69,96%
