RECTYPE,LEA,ESTAB,URN,ICLOSE,SCHNAME,NFTYPE,COHORT,OVERALL_DEST,APPREN,EMPLOYMENT,EDUCATION,FE,SCH_6TH,SIXTH_COL,OTHER_EDU,NOT_SUSTAINED,UNKNOWN,OVERALL_DESTPER,APPRENPER,EMPLOYMENTPER,EDUCATIONPER,FEPER,SCH_6THPER,SIXTH_COLPER,OTHER_EDUPER,NOT_SUSTAINEDPER,UNKNOWNPER,COHORT_DIS,OVERALL_DEST_DIS,APPREN_DIS,EMPLOYMENT_DIS,EDUCATION_DIS,FE_DIS,SCH_6TH_DIS,SIXTH_COL_DIS,OTHER_EDU_DIS,NOT_SUSTAINED_DIS,UNKNOWN_DIS,OVERALL_DESTPER_DIS,APPRENPER_DIS,EMPLOYMENTPER_DIS,EDUCATIONPER_DIS,FEPER_DIS,SCH_6THPER_DIS,SIXTH_COLPER_DIS,OTHER_EDUPER_DIS,NOT_SUSTAINEDPER_DIS,UNKNOWNPER_DIS,COHORT_NONDIS,OVERALL_DEST_NONDIS,APPREN_NONDIS,EMPLOYMENT_NONDIS,EDUCATION_NONDIS,FE_NONDIS,SCH_6TH_NONDIS,SIXTH_COL_NONDIS,OTHER_EDU_NONDIS,NOT_SUSTAINED_NONDIS,UNKNOWN_NONDIS,OVERALL_DESTPER_NONDIS,APPRENPER_NONDIS,EMPLOYMENTPER_NONDIS,EDUCATIONPER_NONDIS,FEPER_NONDIS,SCH_6THPER_NONDIS,SIXTH_COLPER_NONDIS,OTHER_EDUPER_NONDIS,NOT_SUSTAINEDPER_NONDIS,UNKNOWNPER_NONDIS,COHORT_22,OVERALL_DESTPER_22,COHORT_DIS_22,OVERALL_DESTPER_DIS_22,COHORT_NONDIS_22,OVERALL_DESTPER_NONDIS_22,COHORT_21,OVERALL_DESTPER_21,COHORT_DIS_21,OVERALL_DESTPER_DIS_21,COHORT_NONDIS_21,OVERALL_DESTPER_NONDIS_21
1,919,5405,117577,0,The Bishop's Stortford High School,FD,168,166,4,3,159,29,130,0,0,0,2,99%,2%,2%,95%,17%,77%,0%,0%,0%,1%,9,9,0,0,9,6,3,0,0,0,0,100%,0%,0%,100%,67%,33%,0%,0%,0%,0%,159,157,4,3,150,23,127,0,0,0,2,99%,3%,2%,94%,14%,80%,0%,0%,0%,1%,168,97%,12,83%,156,98%,167,99%,9,SUPP,158,SUPP
1,919,5412,137938,0,Nicholas Breakspear Catholic School,ACC,179,173,4,0,169,49,117,1,2,2,4,97%,2%,0%,94%,27%,65%,1%,1%,1%,2%,21,20,1,0,19,9,9,SUPP,SUPP,0,1,95%,5%,0%,90%,43%,43%,SUPP,SUPP,0%,5%,158,153,3,0,150,40,108,SUPP,SUPP,2,3,97%,2%,0%,95%,25%,68%,SUPP,SUPP,1%,2%,137,93%,24,96%,113,92%,108,96%,18,SUPP,90,SUPP
1,919,4001,138747,0,Hertswood Academy,ACC,218,187,6,6,175,81,93,1,0,20,11,86%,3%,3%,80%,37%,43%,SP,0%,9%,5%,72,56,2,2,52,SUPP,21,SUPP,0,12,4,78%,3%,3%,72%,SUPP,29%,SUPP,0%,17%,6%,146,131,4,4,123,SUPP,72,SUPP,0,8,7,90%,3%,3%,84%,SUPP,49%,SUPP,0%,5%,5%,208,92%,65,82%,143,97%,209,95%,55,93%,154,95%
1,919,4016,136608,0,The Knights Templar School,ACC,202,192,4,8,180,54,111,13,2,6,4,95%,2%,4%,89%,27%,55%,6%,1%,3%,2%,34,31,1,2,28,11,14,SUPP,SUPP,2,1,91%,3%,6%,82%,32%,41%,SUPP,SUPP,6%,3%,168,161,3,6,152,43,97,SUPP,SUPP,4,3,96%,2%,4%,90%,26%,58%,SUPP,SUPP,2%,2%,205,95%,33,91%,172,95%,204,97%,26,88%,178,98%
1,919,4022,142051,0,Haileybury Turnford,AC,135,126,4,1,121,52,68,1,0,7,2,93%,3%,1%,90%,39%,50%,1%,0%,5%,1%,30,26,SUPP,SUPP,25,SUPP,11,SUPP,0,SUPP,SUPP,87%,SUPP,SUPP,83%,SUPP,37%,SUPP,0%,SUPP,SUPP,105,100,SUPP,SUPP,96,SUPP,57,SUPP,0,SUPP,SUPP,95%,SUPP,SUPP,91%,SUPP,54%,SUPP,0%,SUPP,SUPP,152,93%,45,84%,107,96%,138,95%,31,94%,107,95%
1,919,4083,137339,0,St Albans Girls' School,ACC,207,203,0,3,200,47,149,0,4,2,2,98%,0%,1%,97%,23%,72%,0%,2%,1%,1%,17,16,0,1,15,9,6,0,0,SUPP,SUPP,94%,0%,6%,88%,53%,35%,0%,0%,SUPP,SUPP,190,187,0,2,185,38,143,0,4,SUPP,SUPP,98%,0%,1%,97%,20%,75%,0%,2%,SUPP,SUPP,209,97%,15,93%,194,97%,207,100%,22,SUPP,185,SUPP
1,919,4118,138632,0,Monk's Walk School,ACC,220,208,3,4,201,65,133,1,2,7,5,95%,1%,2%,91%,30%,60%,SP,1%,3%,2%,31,26,0,0,26,SUPP,7,SUPP,0,2,3,84%,0%,0%,84%,SUPP,23%,SUPP,0%,6%,10%,189,182,3,4,175,SUPP,126,SUPP,2,5,2,96%,2%,2%,93%,SUPP,67%,SUPP,1%,3%,1%,215,96%,35,91%,180,97%,219,95%,33,88%,186,97%
1,919,4080,137110,0,Longdean School,ACC,236,224,6,7,211,93,118,0,0,12,0,95%,3%,3%,89%,39%,50%,0%,0%,5%,0%,50,44,1,3,40,22,18,0,0,6,0,88%,2%,6%,80%,44%,36%,0%,0%,12%,0%,186,180,5,4,171,71,100,0,0,6,0,97%,3%,2%,92%,38%,54%,0%,0%,3%,0%,233,94%,56,86%,177,97%,223,94%,61,92%,162,94%
1,919,5425,145297,0,Goffs - Churchgate Academy,ACC,116,106,1,1,104,51,50,2,1,6,4,91%,1%,1%,90%,44%,43%,2%,1%,5%,3%,33,27,SUPP,SUPP,SUPP,16,10,SUPP,SUPP,SUPP,SUPP,82%,SUPP,SUPP,SUPP,48%,30%,SUPP,SUPP,SUPP,SUPP,83,79,SUPP,SUPP,SUPP,35,40,SUPP,SUPP,SUPP,SUPP,95%,SUPP,SUPP,SUPP,42%,48%,SUPP,SUPP,SUPP,SUPP,58,95%,20,SUPP,38,SUPP,45,93%,13,SUPP,32,SUPP
1,919,5427,136482,0,Hockerill Anglo-European College,ACC,131,130,0,2,128,13,108,3,4,0,1,99%,0%,2%,98%,10%,82%,2%,3%,0%,1%,4,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,127,SUPP,0,2,SUPP,SUPP,106,3,4,0,SUPP,SUPP,0%,2%,SUPP,SUPP,83%,2%,3%,0%,SUPP,108,95%,10,100%,98,95%,121,97%,8,SUPP,113,SUPP
